"FIPS","3-Yr WhMale InfantDeath, tot <1 yr (2010-12)","3-Yr WhMale InfantDeath, tot <1 yr (2009-11)","3-Yr WhMale InfantDeath, tot <1 yr (2008-10)","3-Yr WhMale InfantDeath, tot <1 yr (2007-09)","3-Yr WhMale InfantDeath, tot <1 yr (2006-08)","3-Yr WhMale InfantDeath, tot <1 yr (2005-07)","3-Yr WhMale InfantDeath, tot <1 yr (2004-06)","3-Yr WhMale InfantDeath, tot <1 yr (2003-05)","3-Yr WhMale InfantDeath, tot <1 yr (2002-04)","3-Yr WhMale InfantDeath, tot <1 yr (2001-03)","3-Yr WhMale InfantDeath, tot <1 yr (2000-02)","3-Yr WhMale InfantDeath, tot <1 yr (1999-01)","3-Yr WhMale InfantDeath, tot <1 yr (1998-00)","3-Yr WhFmle InfantDeath, tot <1 yr (2010-12)","3-Yr WhFmle InfantDeath, tot <1 yr (2009-11)","3-Yr WhFmle InfantDeath, tot <1 yr (2008-10)","3-Yr WhFmle InfantDeath, tot <1 yr (2007-09)","3-Yr WhFmle InfantDeath, tot <1 yr (2006-08)","3-Yr WhFmle InfantDeath, tot <1 yr (2005-07)","3-Yr WhFmle InfantDeath, tot <1 yr (2004-06)","3-Yr WhFmle InfantDeath, tot <1 yr (2003-05)","3-Yr WhFmle InfantDeath, tot <1 yr (2002-04)","3-Yr WhFmle InfantDeath, tot <1 yr (2001-03)","3-Yr WhFmle InfantDeath, tot <1 yr (2000-02)","3-Yr WhFmle InfantDeath, tot <1 yr (1999-01)","3-Yr WhFmle InfantDeath, tot <1 yr (1998-00)","3-Yr BlMale InfantDeath, tot <1 yr (2010-12)","3-Yr BlMale InfantDeath, tot <1 yr (2009-11)","3-Yr BlMale InfantDeath, tot <1 yr (2008-10)","3-Yr BlMale InfantDeath, tot <1 yr (2007-09)","3-Yr BlMale InfantDeath, tot <1 yr (2006-08)","3-Yr BlMale InfantDeath, tot <1 yr (2005-07)","3-Yr BlMale InfantDeath, tot <1 yr (2004-06)","3-Yr BlMale InfantDeath, tot <1 yr (2003-05)","3-Yr BlMale InfantDeath, tot <1 yr (2002-04)","3-Yr BlMale InfantDeath, tot <1 yr (2001-03)","3-Yr BlMale InfantDeath, tot <1 yr (2000-02)","3-Yr BlMale InfantDeath, tot <1 yr (1999-01)","3-Yr BlMale InfantDeath, tot <1 yr (1998-00)","3-Yr BlFmle InfantDeath, tot <1 yr (2010-12)","3-Yr BlFmle InfantDeath, tot <1 yr (2009-11)","3-Yr BlFmle InfantDeath, tot <1 yr (2008-10)","3-Yr BlFmle InfantDeath, tot <1 yr (2007-09)","3-Yr BlFmle InfantDeath, tot <1 yr (2006-08)","3-Yr BlFmle InfantDeath, tot <1 yr (2005-07)","3-Yr BlFmle InfantDeath, tot <1 yr (2004-06)","3-Yr BlFmle InfantDeath, tot <1 yr (2003-05)","3-Yr BlFmle InfantDeath, tot <1 yr (2002-04)","3-Yr BlFmle InfantDeath, tot <1 yr (2001-03)","3-Yr BlFmle InfantDeath, tot <1 yr (2000-02)","3-Yr BlFmle InfantDeath, tot <1 yr (1999-01)","3-Yr BlFmle InfantDeath, tot <1 yr (1998-00)"
"01000","140.7","137","154.7","171.3","189.3","175.3","164.7","158.7","160.3","160.3","163.3","166","165.3","117.3","121.3","130.7","141","132.7","136","121.7","120.7","114.7","115","115","114","128.7","141.7","146","146.3","152.3","153.3","153","153.3","147.3","143.7","146.7","159.3","177.7","179","108","100.7","114.7","120","126","122","106.7","105","105","119","127.3","129.3","135"
"02000","13","13.7","15","18.3","16.3","17","16","18.3","18","18.7","17.7","16.7","18","","12","12.7","13.7","14","15.7","16.7","16.3","15.3","15","16","18.3","15","","","","","","","2.7","3","3.7","3","4","4","4","","","","","","","2.7","2","2","2","1.3","0.7","1.3"
"04000","222.7","227.3","243.7","273","294.7","306.7","298","291.7","287.7","273.7","267","257","259","167","175","188","218","236.3","248","240","231","210.3","200","197.3","196.3","198","26","31","36.7","42.7","41.3","37.3","32.3","28.3","24","26.7","27.3","31","28.7","28.3","27.7","32.3","30","29","22.7","19.7","16.7","17.7","22.3","22","23.7","22.7"
"05000","101","109.3","116","120","121","118.7","117.3","120.3","120","119.7","116","118.3","124.7","88.7","86.7","80.3","79","85.3","89.7","93.3","92","94","87.7","84.3","81","81","49","50.7","53.7","57.7","62","64.3","63.7","63","55.7","55.3","55","56.3","61.3","33.3","38.3","40","46","51","50","48","39.7","44.3","47.7","51.7","46.7","43"
"06000","961.3","1034","1099.3","1169.3","1210.3","1228","1221.3","1207.7","1213","1205.7","1197.7","1175","1189.7","808.7","827.3","870.7","924","958.3","980.7","965.7","965.7","953.7","952","976.7","964","985.3","193.3","202","213.3","225.7","229","234","234","238.3","234","231","233.3","235","254.3","140.3","148.3","158.7","178.7","188","190.7","182.7","176.7","174.3","190","202.7","213.3","217.3"
"08000","166","186","192","208.3","202.7","208.7","210.3","214","213.3","201.3","200","193.3","194.7","123.3","143","157","155.7","162","160.7","158.7","153","141.3","140.7","136.7","149","151","22.7","27.7","30","30","25","23.3","23.3","28.7","31.7","30.3","28.3","25.3","26.7","23.3","21.7","22","21.3","20.3","21.7","21","22.7","23.3","23","24.7","22.7","24"
"09000","71","71.7","77","88.3","94.7","93.3","88.3","91.3","102.3","103.3","106.7","107","114.3","56.3","62.7","66.7","76.3","77","82.7","73.7","71","68","71","79.7","84","90.3","35.3","35","36","35","39.7","41.3","42.3","36.7","34.7","37","43","39","39.3","24","25.3","29.3","32.7","34","32.7","31.7","29","32","36","36","34.3","36.7"
"10000","26.3","25.3","25","25.7","29.3","26.7","27","27.3","28.7","31","33","29.3","26.7","21.3","22.3","20","20","21.7","24","24","24","25.7","26.3","27.7","22","22","21.3","22.3","25","25.3","22.3","24","26","28.7","26.3","27.7","24.3","28.7","26.3","18","20.3","22.7","23","22.3","22","22","22.3","18","19.7","18.3","18.3","19"
"11000","","10.3","","12.3","","","7.7","8.3","8","7","5.7","5.7","6.3","","","","","","10.7","8","8.3","7","5.7","4.3","3","2.7","34","34.7","37.7","40","42.7","46.7","46.3","43","37.3","40.3","45.3","49.3","49","24.3","26.3","31.7","39.7","41.7","40.3","38","35.3","33","28","29","35.3","39.7"
"12000","419.7","442.7","478","514","552","554.3","532.7","518.7","497.3","496.3","468.7","455.7","458","326.7","335.3","369.3","392.3","420.3","405.7","405.3","385","398.7","386.3","382","372.3","374.3","330.3","343.3","353.7","376","373.3","370.7","362.3","354.3","350","346.7","338.7","334.7","323.3","260.3","290.7","306.3","317","317.7","318","297.7","295","282.7","290","281","279","261.3"
