state_name,state,year,Population,Employment,Unemployment ,Unemployment rate,Marginally Food Insecure,Food Insecure,Very Low Food Secure,Gross State Product,Number of low income uninsured children,Percent Low Income Unisured Children,Personal income,Workers' compensation,AFDC/TANF Recipients,AFDC/TANF Caseloads,Food Stamp/SNAP Recipients,Food Stamp/SNAP Caseloads,AFDC/TANF Benefit for 2-Person family,AFDC/TANF Benefit for 3-person family,AFDC/TANF benefit for 4-person family,FS/SNAP Benefit for 1-person family,FS/SNAP Benefit for 2-person family,FS/SNAP Benefit for 3-person family,FS/SNAP Benefit for 4-person family,AFDC/TANF_FS 2-Person Benefit,AFDC/TANF_FS 3-Person Benefit,AFDC/TANF_FS 4-Person Benefit,Child-only AFDC/TANF cases,SSI-Federal,SSI-State,Total SSI,SSI_FS Benefit,Number of Poor (thousands),Poverty Rate,Governor is Democrat (1=Yes),Number in Lower House Democrat,Number in Lower House Republican,Fraction of State House that is Democrat,Number in Upper House Democrat,Number in Upper House Republican,Fraction of State Senate that is Democrat,EITC Phase-In Rate No Dependents,EITC Phase-In Rate 1 Dependent,EITC Phase-In Rate 2 Dependents,EITC Maximum Credit No Dependents,EITC Maximum Credit 1 Dependent,EITC Maximum Credit 2 Dependents,EITC Phase-Out Rate No Dependents,EITC Phase-Out Rate 1 Dependent,EITC Phase-Out Rate 2 Dependents,State EITC Rate,Wisconsin EITC Rate 2 Dependents,Wisconsin EITC Rate 3 Dependents,Refundable State EITC (1=Yes),Federal Minimum Wage,State Minimum Wage,SSI recipients,SSI recipients--Aged,SSI recipients--Blind,SSI recipients--Disabled,Medicaid beneficiaries,WIC participation,NSLP Free Participation,NSLP Reduced Participation,NSLP Total Participation,SBP Free Participation,SBP Reduced Participation,SBP Total Participation
AL,1,1980,3893888,1538910,141870,8.40,,,,36142,,,30521535,15220,179602,62733,582863,193483,89,118,148,63,115,165,209,204,283,357,,238,0,238,279,810,21.2,1,101,4,0.96,35,0,1.00,0.0000,0.1000,0.1000,0,500,500,0.0000,0.1250,0.1250,0.000,,,0,3.10,3.10,,,,,,,,,,,,
AK,2,1980,401851,170798,17631,9.40,,,,15282,,,6069690,4897,15135,6158,28693,9837,400,457,514,98,180,258,327,564,681,790,,238,235,473,533,36,9.6,0,25,14,0.64,9,11,0.45,0.0000,0.1000,0.1000,0,500,500,0.0000,0.1250,0.1250,0.000,,,0,3.10,3.60,,,,,,,,,,,,
AZ,3,1980,2718215,1146639,82480,6.70,,,,30764,,,25964363,60845,51245,18312,195560,65210,156,202,244,63,115,165,209,271,356,429,,238,0,238,279,354,12.8,1,18,42,0.30,14,16,0.47,0.0000,0.1000,0.1000,0,500,500,0.0000,0.1250,0.1250,0.000,,,0,3.10,3.10,,,,,,,,,,,,
AR,4,1980,2286435,919354,74471,7.50,,,,20276,,,17213787,12021,84958,29457,300829,102998,133,161,188,63,115,165,209,248,326,390,,238,0,238,279,484,21.5,1,94,6,0.94,35,0,1.00,0.0000,0.1000,0.1000,0,500,500,0.0000,0.1250,0.1250,0.000,,,0,3.10,2.55,,,,,,,,,,,,
CA,5,1980,23667902,10791435,796359,6.90,,,,327958,,,283903674,367598,1386871,476146,1492669,542672,382,473,563,63,115,165,209,432,546,653,,238,182,420,407,2619,11.0,1,50,30,0.63,25,14,0.64,0.0000,0.1000,0.1000,0,500,500,0.0000,0.1250,0.1250,0.000,,,0,3.10,3.10,,,,,,,,,,,,
CO,6,1980,2889964,1413339,88130,5.90,,,,38332,,,31164964,66252,76821,27711,163415,61720,229,290,351,63,115,165,209,325,418,504,,238,55,293,318,247,8.6,1,27,38,0.42,13,22,0.37,0.0000,0.1000,0.1000,0,500,500,0.0000,0.1250,0.1250,0.000,,,0,3.10,1.90,,,,,,,,,,,,
CT,7,1980,3107576,1482804,92961,5.90,,,,40770,,,38357333,17522,139078,47906,170002,64693,383,475,553,63,115,165,209,433,547,646,,238,102,340,351,255,8.3,1,103,48,0.68,26,10,0.72,0.0000,0.1000,0.1000,0,500,500,0.0000,0.1250,0.1250,0.000,,,0,3.10,3.12,,,,,,,,,,,,
DE,8,1980,594338,262692,20966,7.40,,,,7898,,,6398759,2031,32264,11635,102564,41716,197,266,312,63,115,165,209,302,401,477,,238,0,238,279,68,11.8,0,21,20,0.51,13,8,0.62,0.0000,0.1000,0.1000,0,500,500,0.0000,0.1250,0.1250,0.000,,,0,3.10,2.00,,,,,,,,,,,,
DC,9,1980,638333,298658,23372,7.30,,,,19862,,,7798689,8694,85202,30662,51612,19673,225,286,349,63,115,165,209,322,415,503,,238,15,253,290,131,20.9,,,,,,,,0.0000,0.1000,0.1000,0,500,500,0.0000,0.1250,0.1250,0.000,,,0,3.10,3.10,,,,,,,,,,,,
FL,10,1980,9746324,4026492,262278,6.10,,,,97899,,,97623679,65505,256179,93522,911953,340307,150,195,230,63,115,165,209,265,351,420,,238,0,238,279,1692,16.7,1,89,31,0.74,29,11,0.73,0.0000,0.1000,0.1000,0,500,500,0.0000,0.1250,0.1250,0.000,,,0,3.10,3.10,,,,,,,,,,,,
