"state","year","cases"
"California",2007,38538
"Texas",2007,37465
"Arizona",2007,18202
"New York",2007,17995
"Florida",2007,17887
"Georgia",2007,10144
"Washington",2007,8185
"Louisiana",2007,7573
"Illinois",2007,5510
"Pennsylvania",2007,5096
"New Jersey",2007,4979
"Maryland",2007,4213
"Virginia",2007,3908
"Massachusetts",2007,3838
"Colorado",2007,3782
"Missouri",2007,3481
"Michigan",2007,3003
"Ohio",2007,2960
"Minnesota",2007,2871
"Puerto Rico",2007,2719
"Nevada",2007,2298
"Tennessee",2007,2274
"Nebraska",2007,1956
"Connecticut",2007,1641
"Utah",2007,1587
"Oregon",2007,926
"Hawaii",2007,668
"North Carolina",2007,159
"Guam",2007,68
"Oklahoma",2007,NA
"Alabama",2007,NA
"Rhode Island",2007,NA
"Alaska",2007,NA
"South Carolina",2007,NA
"Arkansas",2007,NA
"South Dakota",2007,NA
"Delaware",2007,NA
"US Virgin Islands",2007,NA
"District of Columbia",2007,NA
"Vermont",2007,NA
"Idaho",2007,NA
"West Virginia",2007,NA
"Indiana",2007,NA
"Wisconsin",2007,NA
"Iowa",2007,NA
"Wyoming",2007,NA
"Kansas",2007,NA
"Kentucky",2007,NA
"Maine",2007,NA
"Mississippi",2007,NA
"Montana",2007,NA
"New Hampshire",2007,NA
"New Mexico",2007,NA
"North Dakota",2007,NA
"Texas",2008,42511
"California",2008,33361
"Arizona",2008,19397
"Florida",2008,19086
"New York",2008,17015
"Georgia",2008,12148
"Louisiana",2008,9607
"Washington",2008,8606
"Illinois",2008,7705
"New Jersey",2008,6602
"Pennsylvania",2008,5378
"Virginia",2008,5166
"Colorado",2008,5123
"Missouri",2008,4298
"Ohio",2008,3914
"Massachusetts",2008,3557
"Minnesota",2008,3302
"Maryland",2008,3283
"Michigan",2008,3274
"Nebraska",2008,2589
"Nevada",2008,2396
"Utah",2008,2195
"Puerto Rico",2008,2173
"Tennessee",2008,2075
"Connecticut",2008,1447
"North Carolina",2008,1001
"Hawaii",2008,823
"Oregon",2008,729
"Guam",2008,153
"Oklahoma",2008,NA
"Alabama",2008,NA
"Rhode Island",2008,NA
"Alaska",2008,NA
"South Carolina",2008,NA
"Arkansas",2008,NA
"South Dakota",2008,NA
"Delaware",2008,NA
"US Virgin Islands",2008,NA
"District of Columbia",2008,NA
"Vermont",2008,NA
"Idaho",2008,NA
"West Virginia",2008,NA
"Indiana",2008,NA
"Wisconsin",2008,NA
"Iowa",2008,NA
"Wyoming",2008,NA
"Kansas",2008,NA
"Kentucky",2008,NA
"Maine",2008,NA
"Mississippi",2008,NA
"Montana",2008,NA
"New Hampshire",2008,NA
"New Mexico",2008,NA
"North Dakota",2008,NA
"Texas",2009,51803
"California",2009,32080
"Arizona",2009,23088
"New York",2009,19770
"Florida",2009,19395
"Georgia",2009,11380
"Illinois",2009,9912
"Louisiana",2009,9509
"Washington",2009,8649
"New Jersey",2009,7813
"Colorado",2009,7601
"Pennsylvania",2009,6583
"Massachusetts",2009,4962
"Virginia",2009,4696
"Ohio",2009,4559
"Minnesota",2009,3718
"Missouri",2009,3659
"Nevada",2009,3598
"Michigan",2009,3416
"North Carolina",2009,2978
"Maryland",2009,2959
"Utah",2009,2954
"Nebraska",2009,2893
"Tennessee",2009,2376
"Puerto Rico",2009,2100
"Connecticut",2009,1579
"Oregon",2009,820
"Hawaii",2009,680
"Guam",2009,123
"Oklahoma",2009,NA
"Alabama",2009,NA
"Rhode Island",2009,NA
"Alaska",2009,NA
