"fipscode","datayear","st","cl.blk","ent.blk","lifelos.blk","grp.inst.blk","cl.white","ent.white","lifelos.white","grp.inst.white","cl.nat.am","ent.nat.am","lifelos.nat.am","grp.inst.nat.am","cl.latino","ent.latino","lifelos.latino","grp.inst.latino","cl.asian","ent.asian","lifelos.asian","grp.inst.asian","cl.unk","ent.unk","lifelos.unk","grp.inst.unk","cl.haw.pi","ent.haw.pi","lifelos.haw.pi","grp.inst.haw.pi"
8,2014,"AK",75,34,565.56,3,541,198,611.343866171004,19,1089,375,711.323222748815,82,46,24,514.782608695652,3,15,7,467.266666666667,0,65,53,208.169230769231,1,9,4,714.444444444444,2
8,2014,"AL",2013,722,831.408596582082,0,3749,1777,562.789343586927,0,18,5,1410.05882352941,3,278,125,592.250922509225,0,23,8,520.04347826087,3,17,13,128.529411764706,0,20,8,505.6,1
8,2014,"AR",1947,822,574.082529474812,0,4663,2421,434.178507992895,0,116,47,749.43119266055,10,375,193,423.899441340782,0,40,19,461.552631578947,0,26,21,189.038461538462,5,44,19,638.585365853659,17
8,2014,"AZ",150,61,528.304964539007,0,1608,869,434.582794307891,0,236,94,516.569444444444,0,910,432,432.004489337823,0,17,5,560,1,187,109,348.54748603352,0,11,7,381.727272727273,0
8,2014,"CA",1418,539,788.481592787378,189,5653,2219,655.038924407672,607,1100,399,797.275964391691,93,4803,2040,630.443423068505,635,302,120,689.652777777778,36,95,80,144.621052631579,8,83,23,732.725,16
8,2014,"CO",563,234,651.450106157112,0,2553,1108,592.358638743455,0,90,57,427.62962962963,0,1685,819,504.238283828383,0,38,18,669.083333333333,0,19,6,761.157894736842,4,13,8,328.153846153846,2
8,2014,"CT",807,300,990.869220607662,0,1095,389,815.657223796034,0,19,8,1301.73684210526,2,573,244,777.538738738739,0,20,5,2058.85,5,25,17,341.52,2,9,0,608.666666666667,0
8,2014,"DE",553,169,850.020599250936,69,348,119,625.604105571848,38,NA,NA,NA,NA,74,25,670.945945945946,7,5,1,718.2,1,NA,NA,NA,NA,NA,NA,NA,NA
8,2014,"FL",3813,1837,533.158192090395,437,8163,3676,485.990252144528,744,63,28,573.262295081967,7,1238,578,498.474850809889,145,67,36,378.016393442623,8,42,26,317.975609756098,5,21,5,516.52380952381,2
8,2014,"GA",5203,2510,513.503514762,0,6435,3160,466.760784949724,0,38,13,575.526315789474,4,910,428,465.732650739477,0,62,40,347.290322580645,0,14,11,248.857142857143,2,7,3,512.142857142857,2
8,2014,"HI",20,8,696.526315789474,1,191,112,377.183431952663,0,24,10,499.142857142857,5,13,6,209.583333333333,1,299,134,583.833948339483,0,30,21,187.9,1,312,163,556.327586206897,0
8,2014,"IA",1193,483,660.52551477171,180,5513,2154,581.92323970758,686,287,120,592.400735294118,16,751,302,566.433147632312,109,61,26,443.55,5,259,126,359.133858267717,25,36,10,601.363636363636,6
8,2014,"ID",85,35,604.646341463415,7,1717,796,450.49695863747,113,207,80,588.121212121212,14,389,198,413.319371727749,25,2,0,582.5,0,33,27,179.181818181818,9,2,2,178.5,0
8,2014,"IL",3319,888,1108.79993806132,0,5772,1605,872.72505698755,0,16,6,846.666666666667,3,438,131,780.410550458716,30,21,5,1026.57142857143,3,70,20,745.014285714286,4,3,0,1530,0
8,2014,"IN",1692,699,604.581508515815,0,9477,4235,506.045995848356,0,54,16,628.11320754717,5,640,292,461.607142857143,0,38,19,429.138888888889,4,13,7,301.384615384615,1,27,16,486.333333333333,1
8,2014,"KS",1193,412,817.47807394669,75,5245,2081,612.099448601812,0,207,87,594.309644670051,11,797,308,602.146124523507,0,34,7,530.235294117647,3,2,1,66.5,0,4,4,54.75,0
8,2014,"KY",1132,538,592.239130434783,0,8128,3764,550.677885879569,0,17,11,306.8125,4,431,180,531.384615384615,45,21,8,415.9,2,281,162,396.724014336918,27,18,10,339.823529411765,1
8,2014,"LA",3756,1954,534.394024015638,0,3812,1913,484.001620307859,0,33,11,487.41935483871,4,157,93,393.079470198675,12,12,7,342.75,1,130,97,299.629921259843,0,10,5,338.2,0
8,2014,"MA",662,307,610.349761526232,0,1819,784,632.274315666861,0,71,22,659.753623188406,3,227,95,642.145631067961,0,19,7,417.944444444444,4,174,81,453.239766081871,21,3,1,295.333333333333,0
8,2014,"MD",1650,500,1049.21884882985,0,1590,511,760.46158896914,0,4,2,515,0,244,67,869.658227848101,0,35,15,579.742857142857,7,183,96,433.872222222222,7,4,1,386.5,0
8,2014,"ME",173,53,730.585365853659,10,1664,573,756.713140037014,0,71,26,663.088235294118,0,416,122,575.304455445545,0,18,4,897.5,2,300,135,455.28231292517,0,10,3,626.7,0
8,2014,"MI",3807,1305,657.696525515744,0,7926,2894,567.235128205128,0,485,166,651.490364025696,0,706,272,584.21387283237,0,51,10,578.803921568627,1,63,54,191.111111111111,7,12,10,365.583333333333,1
8,2014,"MN",950,504,464.2,205,4102,2241,444.604092769441,1035,2304,1104,549.500244021474,286,471,272,394.635265700483,124,78,46,345.537313432836,18,87,69,161.03488372093,25,14,8,448.75,6
