"st","datayear","cl.blk","ent.blk","reun.blk","lifelos.blk","grp.inst.blk","kin.fc.blk","cl.white","ent.white","reun.white","lifelos.white","grp.inst.white","kin.fc.white","cl.nat.am","ent.nat.am","reun.nat.am","lifelos.nat.am","grp.inst.nat.am","kin.fc.nat.am","cl.latino","ent.latino","reun.latino","lifelos.latino","grp.inst.latino","kin.fc.latino","cl.asian","ent.asian","reun.asian","lifelos.asian","grp.inst.asian","kin.fc.asian","cl.unk","ent.unk","reun.unk","lifelos.unk","grp.inst.unk","kin.fc.unk","cl.haw.pi","ent.haw.pi","reun.haw.pi","lifelos.haw.pi","grp.inst.haw.pi","kin.fc.haw.pi","cl","ent","grp.inst","reun","lifelos","kin.fc"
"AK",2014,248,79,47,583.391129032258,14,23,816,284,128,637.745098039216,27,187,1753,626,248,673.233884768968,103,299,75,36,13,601.8,5,10,41,12,6,496.512195121951,1,5,126,98,25,224.174603174603,1,32,50,27,5,580.26,3,7,3109,1162,154,472,633.004503055645,563
"AL",2014,3067,1145,840,781.7111183567,571,389,4079,1911,1140,548.37901446433,571,794,19,5,4,1302.15789473684,3,1,350,142,89,563.417142857143,26,30,29,10,11,502.586206896552,3,8,27,22,11,98.6296296296296,1,2,20,8,7,505.6,1,10,7591,3243,1176,2102,643.345145567119,1234
"AR",2014,1947,822,666,550.199280945044,371,224,4663,2421,1630,419.373793695046,798,636,116,47,30,704.206896551724,10,19,375,193,125,404.682666666667,76,45,40,19,13,438.475,7,7,26,21,7,189.038461538462,5,5,44,19,12,595.045454545455,17,3,7211,3542,1284,2483,458.862571071973,939
"AZ",2014,3720,1698,819,476.695430107527,690,1328,9481,4431,2074,452.885349646662,1181,3874,1975,809,399,500.592911392405,224,789,9448,4285,2090,472.303556308213,1168,4343,161,92,35,417.664596273292,23,61,1371,836,380,299.606856309263,149,638,97,58,16,369.123711340206,14,47,26253,12209,3449,5813,458.306403077743,11080
"CA",2014,21138,7423,4086,932.824723247232,2893,5801,18257,7208,4029,647.261105329463,1939,4727,2658,938,512,785.620534035352,212,827,41929,16822,9828,666.638030957094,3892,13425,2284,909,602,660.177320490368,220,676,303,209,86,408.435643564356,57,61,518,187,131,711.073359073359,56,165,87087,33696,9269,19274,730.014043266581,25682
"CO",2014,1781,752,469,568.336327905671,568,394,4537,1997,1450,544.07317610756,1256,1043,220,121,101,473.559090909091,36,85,3559,1728,1095,465.731385220568,1049,1024,130,53,28,670.138461538462,31,20,51,20,12,567.078431372549,17,10,31,15,8,599.161290322581,9,10,10309,4686,2966,3163,521.583179745853,2586
"CT",2014,1985,618,222,1059.00652610442,375,515,1802,620,215,884.6,293,502,28,9,1,1531.92857142857,4,9,1604,593,191,866.900621118012,266,399,34,10,4,1470.02941176471,8,5,70,41,17,342.114285714286,15,24,11,0,5,806.272727272727,1,5,5534,1891,962,655,941.918198198198,1459
"DC",2014,1463,346,322,1300.78127136022,98,286,3,2,2,1184.66666666667,1,0,0,0,0,0,0,NA,50,22,14,981.48,4,5,5,4,1,289,0,0,10,8,9,138.1,0,2,NA,NA,NA,NA,NA,NA,1531,382,103,348,1279.22730241672,293
"DE",2014,553,169,96,820.815551537071,69,65,348,119,76,613.020114942529,38,54,0,0,0,0,0,NA,74,25,12,670.945945945946,7,4,5,1,3,718.2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,980,314,115,187,735.186734693877,123
"FL",2014,12991,6304,3887,518.364714032792,1754,5640,15102,6958,4543,462.878095616475,1445,6681,132,54,47,532.333333333333,10,53,4716,2330,1608,451.547073791349,546,2017,159,81,50,399.685534591195,22,56,109,63,32,330.642201834862,9,43,36,14,10,426.666666666667,2,13,33245,15804,3788,10177,482.453752443977,14503
