"stname","year","cl.blk","ent.blk","reun.blk","lifelos.blk","grp.inst.blk","cl.white","ent.white","reun.white","lifelos.white","grp.inst.white","cl.nat.am","ent.nat.am","reun.nat.am","lifelos.nat.am","grp.inst.nat.am","cl","ent","reun","lifelos","grp.inst","state","tot","child","child.pov","wht","wht.child","wht.child.pov","wht.lessHS","blk","blk.child","blk.child.pov","blk.lessHS","amind","amind.child","amind.child.pov","amind.lessHS","lessHS","latino","latino.child","latino.child.pov","latino.lessHS","foreign","foreign.child","foreign.child.pov","foreign.lessHS","adult","welf","wht.welf","w.adult","b.adult","a.adult","l.adult","blk.welf","latino.welf","amind.welf","wht.unemp","blk.unemp","latino.unemp","amind.unemp","unemp","wht.emp","blk.emp","latino.emp","amind.emp","emp","blk.singpar","latino.singpar","amind.singpar","wht.singpar","singpar","wht.f","blk.f","amind.f","f","incartot","new.incar","WHITEM","WHITEF","BLACKM","BLACKF","AIANM","AIANF","incar.f","incar.m","statename","inst6014_nom","St","v.crime.rt","pctblk1930","pctimm1930","pctami1930","boarding.n","board"
"AK",2014,248,79,47,583.391129032258,14,816,284,128,637.745098039216,27,1753,626,248,673.233884768968,103,3109,1162,472,633.004503055645,154,2,728300,187878,29448,458532,96296,8849,0.0444010538133181,25704,6416,905,0.110697289468239,102931,33366,10289,0.185996141385461,0.0813869239635189,45281,16127,2829,0.140646123723836,60546,7075,1152,9220,540422,20406,9526,362236,19288,69565,29154,1205,921,5196,14623,2055,1432,9668,31745,252521,13588,22667,34026,366590,2505,4739,13516,21823,56005,168670,8224,35188,256519,5216,3846,2180,365,429,32,1654,214,788,4428,"Alaska",35.44347,"Alaska",635.8,0.00303090224513527,0.17968472137768,0.439735425382507,2,TRUE
"AL",2014,3067,1145,840,781.7111183567,571,4079,1911,1140,548.37901446433,571,19,5,4,1302.15789473684,3,7591,3243,2102,643.345145567119,1176,1,4817678,1117419,319968,3207231,660278,116903,0.139726996442708,1270246,336429,157631,0.206062202437788,26181,6067,1654,0.232349165596919,0.164178072744165,192140,71413,32037,0.427750034605024,197704,18843,5857,42413,3700259,38906,19482,2546953,933817,20114,120727,17911,706,218,123279,91300,7943,1631,228396,1408723,476254,79856,10331,2019902,210530,22559,1303,145052,394570,1316992,513627,10267,1935855,26145,11604,11892,1763,17183,815,1,0,1661,24484,"Alabama",19.0589,"Alabama",427.4,0.351879028652581,0.00621917820438949,9.15894079085531e-05,0,FALSE
"AR",2014,1947,822,666,550.199280945044,371,4663,2421,1630,419.373793695046,798,116,47,30,704.206896551724,10,7211,3542,2483,458.862571071973,1284,5,2947029,709358,200636,2178593,459172,98961,0.130410982314756,458881,134279,62456,0.195907922553955,18284,4012,1121,0.162124673629243,0.156263836794438,198201,79019,29545,0.477858827400867,153340,17264,5152,44516,2237671,31652,19156,1719421,324602,14272,119182,9917,1415,335,74403,30716,6327,996,116526,961347,168421,81566,7908,1255607,84114,23866,1058,114551,233008,885062,173904,7171,1152103,15250,9475,8636,1031,7243,328,41,11,1229,14021,"Arkansas",48.89912,"Arkansas",480.1,0.257666825748038,0.00587543984683316,0.000172936811256834,0,FALSE
"AZ",2014,3720,1698,819,476.695430107527,690,9481,4431,2074,452.885349646662,1181,1975,809,399,500.592911392405,224,26253,12209,5813,458.306403077743,3449,4,6561527,1619865,437671,3734815,664956,98342,0.0627834490008354,275657,78137,25527,0.107757862188592,289979,91166,42489,0.248962843003787,0.141605851935883,1976546,700979,260256,0.353486156870011,955780,72634,28437,289045,4941662,73543,37171,3069859,197520,198813,1275567,4841,21776,8108,146075,18855,102297,23936,301509,1687946,112432,757914,87661,2769749,42127,261381,43351,160606,524134,1564706,93187,103709,2509257,42136,14634,14557,2128,5275,331,1833,341,3958,38178,"Arizona",3.017494,"Arizona",399.9,0.0262381312525237,0.158205115904187,0.0959802310806154,4,TRUE
"CA",2014,21138,7423,4086,932.824723247232,2893,18257,7208,4029,647.261105329463,1939,2658,938,512,785.620534035352,212,87087,33696,19274,730.014043266581,9269,6,38066920,9209075,2200972,14909090,2466268,286734,0.0594912711338745,2260315,536565,192947,0.116995422991677,281571,69172,23683,0.244621327802721,0.186840586507519,14533465,4753489,1523919,0.410556507721378,10698479,586895,189164,3280002,28857845,621383,193321,12442822,1723750,212399,9779976,96336,258051,9015,728538,187227,863582,21695,2073520,7180148,875883,6022162,109455,17008615,303889,1546330,27191,534176,2639441,6279072,881228,106603,14655977,134433,38765,28055,2028,37284,1647,1312,115,6130,128303,"California",87.42805,"California",396.1,0.0141793126799314,0.195705971495203,0.00349378357460497,5,TRUE
"CO",2014,1781,752,469,568.336327905671,568,4537,1997,1450,544.07317610756,1256,220,121,101,473.559090909091,36,10309,4686,3163,521.583179745853,2966,8,5197581,1234543,225249,3605808,707782,70872,0.0441745618678424,209583,55441,20828,0.11834907610597,50761,13198,5073,0.197763057155221,0.0971579090839057,1089014,381744,120830,0.324745711846059,575004,54751,15260,144899,3963038,50213,28653,2898026,154142,37563,707270,3876,14084,702,137384,14647,54130,3576,218957,1912810,91350,456020,21470,2591889,25974,131432,5899,150723,329344,1461552,71201,18674,1987510,20469,10186,8443,1042,3618,244,515,66,1845,18624,"Colorado",72.44034,"Colorado",309.1,0.0100360192257353,0.0976729068989461,0.000654332105116704,2,TRUE
"CT",2014,1985,618,222,1059.00652610442,375,1802,620,215,884.6,293,28,9,1,1531.92857142857,4,5534,1891,655,941.918198198198,962,9,3592053,794748,120263,2507740,470609,29973,0.0692967516765388,368714,97695,30739,0.154554183813443,7914,2000,576,0.226065472513897,0.105463453569096,512695,166587,55793,0.305573425776497,521408,39353,5298,89080,2797305,58918,28072,2037131,271019,5914,346108,12686,16591,236,109543,33528,36089,664,187842,1295158,163013,219734,3473,1774548,56474,82405,1074,89141,237056,1059166,145000,2764,1453542,16814,5701,4922,592,6454,340,37,4,1110,15704,"Connecticut",82.98675,"Connecticut",236.9,0.0188816274027584,0.239623073501224,9.01171324799398e-05,0,FALSE
"DE",2014,553,169,96,820.815551537071,69,348,119,76,613.020114942529,38,0,0,0,0,0,980,314,187,735.186734693877,115,10,917060,204544,39762,590232,106300,11622,0.0932781916551001,198588,53194,15677,0.146855747209006,3261,497,145,0.252636203866432,0.119586937108066,78378,28516,9557,0.332979109429268,83602,5822,1345,14084,712516,11436,6492,483932,145394,2764,49862,3641,894,114,22748,11730,3825,249,39844,286222,85620,33140,1539,426137,28192,10987,185,25797,69699,252280,79028,1422,372573,6730,3374,2472,415,3613,166,0,0,566,6164,"Delaware",76.57413,"Delaware",489.1,0.128865733246258,0.0754136772423766,0,0,FALSE
"FL",2014,12991,6304,3887,518.364714032792,1754,15102,6958,4543,462.878095616475,1445,132,54,47,532.333333333333,10,33245,15804,10177,482.453752443977,3788,12,19361792,4020188,1023154,10958402,1785923,283931,0.0865552078607028,3119820,856513,347427,0.201762476954373,59475,13453,4282,0.241044161776031,0.136278727914641,4516622,1150079,353795,0.240945641822786,4011926,256259,77185,783115,15341604,204165,101239,9172479,2263307,46022,3366543,48852,48038,707,486280,253511,250259,4489,1021743,4785361,1237837,2048303,24039,8399150,481447,404689,5686,458520,1395731,4715991,1199229,21880,7931856,100873,32041,44475,4930,46950,2164,79,10,7203,93670,"Florida",11.33699,"Florida",540.5,0.296862475722392,0.0490324161291572,0.00118329793775586,0,FALSE
"GA",2014,7314,3704,2388,483.000410172272,1367,6576,3255,1777,445.05246350365,1085,41,14,14,556.90243902439,4,15011,7519,4536,462.703284258211,2625,13,9907756,2488333,676511,5449670,1148112,174049,0.113442170557389,3056278,846648,330071,0.162891300492174,25307,6350,2102,0.213223140495868,0.150286970715743,896410,330793,141922,0.428413121069628,1055924,89759,27322,232212,7419423,84984,40655,4301558,2209630,18957,565617,36842,4919,486,222786,235666,39168,1661,516569,2519772,1231511,383149,10649,4345906,476207,99671,1484,233847,847062,2207340,1204470,9099,3850685,52719,18455,16087,1923,31020,1508,25,1,3511,49208,"Georgia",3.120583,"Georgia",377.3,0.372305100396451,0.0049659302351427,0,0,FALSE
