"","state","year","entered","entered.nkin","bent","went","cl","bcl","wcl","pl.pre-adopt","pl.foster.rel","pl.foster.non.rel","pl.grphome","pl.inst","pl.indliv","pl.awol","pl.trialvis","b.pl.pre-adopt","b.pl.foster.rel","b.pl.foster.non.rel","b.pl.grphome","b.pl.inst","b.pl.indliv","b.pl.awol","b.pl.trialvis","w.pl.pre-adopt","w.pl.foster.rel","w.pl.foster.non.rel","w.pl.grphome","w.pl.inst","w.pl.indliv","w.pl.awol","w.pl.trialvis","cg.reunify","cg.other.rel","cg.adopt","cg.long.fc","cg.emanc","cg.guard","cg.noplan","cg.na","b.cg.reunify","b.cg.other.rel","b.cg.adopt","b.cg.long.fc","b.cg.emanc","b.cg.guard","b.cg.noplan","b.cg.na","w.cg.reunify","w.cg.other.rel","w.cg.adopt","w.cg.long.fc","w.cg.emanc","w.cg.guard","w.cg.noplan","w.cg.na","prtsjail == 1"
"1",1,2000,2661,2184,1253,1363,10616,4215,3635,115,1191,3888,329,1238,25,142,819,51,653,2152,186,616,16,84,351,61,534,1667,141,609,8,56,461,3857,1181,1140,1439,0,0,338,0,1852,706,590,872,0,0,195,0,1955,461,538,547,0,0,134,0,31
"2",2,2000,1096,852,92,311,4202,290,903,57,846,1133,219,53,0,0,795,3,86,115,20,4,0,0,61,23,234,341,69,22,0,0,212,1924,44,733,89,28,274,0,0,168,4,64,5,5,43,0,0,566,14,183,35,19,84,0,0,NA
"3",4,2000,4644,3372,588,2303,16175,1747,5729,390,2404,3703,1407,1382,163,334,766,58,346,595,259,201,25,61,88,211,1084,1858,715,628,95,148,445,3997,999,3192,643,1519,127,1054,0,491,196,493,136,281,37,113,0,2058,425,1573,301,819,58,495,0,372
"4",5,2000,3542,3079,1134,2233,10266,2441,3970,304,582,4824,0,383,0,163,8,114,298,1726,0,109,0,69,1,181,277,2862,0,259,0,87,6,3589,376,1163,281,698,72,306,0,1178,175,464,141,269,29,81,0,2235,189,656,128,410,42,194,0,521
"5",6,2000,45685,33316,9982,15353,208604,50619,49601,8344,55063,52616,20987,9095,0,4927,11657,2348,21275,14983,5933,2056,0,1204,2734,2876,13333,18048,7795,2511,0,1631,3328,45757,10772,6262,10651,0,5997,83480,0,12277,6491,2209,4253,0,3035,22354,0,14131,1679,1876,3195,0,1271,27449,0,1166
"6",8,2000,6942,6413,814,3283,19987,1847,6420,330,1029,7482,623,2766,199,516,100,70,190,1074,101,312,41,54,5,150,433,3717,170,1525,121,241,63,6077,295,2073,1099,931,84,97,0,757,44,420,201,155,13,5,0,2883,139,943,589,518,39,56,0,480
"7",10,2000,950,825,585,311,2934,1227,624,89,249,989,80,563,8,0,0,41,148,636,47,347,4,0,0,39,83,279,27,192,2,0,0,573,88,370,37,152,17,747,0,357,67,240,21,89,12,441,0,182,14,109,12,50,3,254,0,19
"8",11,2000,775,700,662,2,4144,3191,9,12,359,2015,456,240,0,127,0,11,352,1914,423,220,0,116,0,0,0,6,3,0,0,0,0,570,78,1133,290,608,88,602,0,540,68,1107,284,588,88,516,0,1,0,4,0,2,0,2,0,33
"9",12,2000,18765,5838,7889,9151,70883,24927,22613,2701,22109,14121,1689,565,421,854,0,1170,11224,6872,820,243,221,437,0,1229,9270,5872,718,273,163,320,0,36878,203,7310,2509,1047,0,4171,0,17290,144,3718,1399,572,0,1804,0,16590,51,2833,885,364,0,1890,0,1416
"10",13,2000,7028,5687,3850,2837,22889,9399,5819,1436,3111,9326,942,925,0,121,0,840,1936,5495,524,523,0,81,0,501,1127,3390,385,381,0,35,0,9081,1093,3784,1255,606,42,0,0,4940,755,2414,883,378,29,0,0,3734,316,1192,354,212,11,0,0,667
"11",15,2000,1929,1274,82,534,6012,142,917,120,1363,2253,81,144,0,65,10,6,20,97,3,12,0,3,0,14,258,575,22,23,0,11,2,1831,88,708,193,7,185,1009,0,62,2,22,10,0,4,39,0,478,13,132,39,2,28,208,0,74
"12",16,2000,1127,1017,25,864,3153,50,1517,155,246,1221,201,151,1,16,35,9,2,31,5,3,0,0,0,94,197,911,161,115,1,11,27,1403,98,177,133,73,142,0,0,28,1,9,5,2,5,0,0,1059,83,112,101,60,102,0,0,6
"13",17,2000,6607,4513,3857,2137,46480,29021,7920,8838,9428,11819,602,2945,2658,921,2647,6629,7561,8273,393,1962,1927,726,1537,1583,1322,2586,165,767,573,117,805,6240,0,13887,752,11002,2033,5959,0,3752,0,10416,561,8247,1601,4444,0,1813,0,2548,133,2116,306,1004,0,19
"14",18,2000,5576,4958,1889,3428,18255,5020,7110,0,1796,5404,461,1388,84,80,3377,0,1048,2146,169,457,22,39,1110,0,689,3033,283,865,59,39,2084,5301,236,2884,372,837,378,2671,0,1727,91,1383,112,280,155,1272,0,3323,131,1417,244,526,204,1265,0,489
"15",19,2000,5620,5596,576,4046,16102,1185,7518,1007,43,4173,4178,655,197,196,0,203,11,501,386,33,24,23,0,630,24,2936,3116,526,132,130,0,4482,192,1566,801,208,38,3195,0,386,25,295,101,16,8,354,0,3348,141,998,590,158,25,2258,0,272
"16",20,2000,3191,2602,602,2326,11548,1785,5795,262,1103,3365,533,555,132,195,2075,62,272,778,111,92,32,53,352,179,737,2267,365,423,91,111,1528,4389,6,1900,3,370,243,1320,0,856,2,560,0,69,52,227,0,3119,4,1160,3,278,174,960,0,50
"17",21,2000,4128,3398,707,3167,13509,2113,6795,546,1177,4738,2,2835,83,0,0,186,180,1055,1,674,17,0,0,328,937,3426,1,2040,63,0,0,4136,572,2462,729,409,49,1024,0,725,176,733,209,74,8,188,0,3185,376,1639,491,320,39,745,0,428
"18",22,2000,3157,2557,1844,1257,11709,5311,3099,15,1204,4296,690,1276,30,142,897,6,727,2755,415,794,23,90,499,9,465,1461,261,462,7,51,383,5071,284,1972,960,259,6,0,0,3090,193,1216,642,169,1,0,0,1871,90,734,310,89,5,0,0,118
