statename,state,year,citi6013,inst6013_adacope,inst6014_nom
Alabama,1,1960,41.29303,52,66.84311
Alabama,1,1961,40.88839,54.86364,66.84311
Alabama,1,1962,40.74892,54.86364,66.84311
Alabama,1,1963,37.15046,47.85,67.47461
Alabama,1,1964,34.97208,47.85,67.47461
Alabama,1,1965,10.80973,19.7,65.54502
Alabama,1,1966,10.65731,18.9,65.54502
Alabama,1,1967,10.86129,16.35714,64.09711
Alabama,1,1968,6.310117,10,64.09711
Alabama,1,1969,13.93583,18.21428,60.93432
Alabama,1,1970,16.08797,22.85714,60.93432
Alabama,1,1971,23.04063,30.22582,59.70294
Alabama,1,1972,15.88528,21.92857,59.70294
Alabama,1,1973,27.90112,38.16667,62.59309
Alabama,1,1974,21.11649,30.5,62.59309
Alabama,1,1975,20.88056,25,62.59309
Alabama,1,1976,25.33956,31.5,62.59309
Alabama,1,1977,27.84923,28.25,58.33736
Alabama,1,1978,25.22139,27.75,58.33736
Alabama,1,1979,29.83552,34.83333,63.32092
Alabama,1,1980,29.22127,36.75,63.32092
Alabama,1,1981,26.89806,36.2,60.38591
Alabama,1,1982,23.27665,34.5,60.38591
Alabama,1,1983,35.09223,52.16667,60.13879
Alabama,1,1984,28.21489,38.5,60.13879
Alabama,1,1985,27.87722,38.41667,60.13879
Alabama,1,1986,37.79116,49.75,60.13879
Alabama,1,1987,38.51693,34.42857,41.68198
Alabama,1,1988,45.02993,40.94643,41.68198
Alabama,1,1989,37.47248,31.73214,42.72657
Alabama,1,1990,33.83535,29.28572,42.72657
Alabama,1,1991,39.80908,33.01786,42.72657
Alabama,1,1992,39.62212,34.57143,42.72657
Alabama,1,1993,39.01714,55.13333,62.16824
Alabama,1,1994,39.41495,60.25,69.36357
Alabama,1,1995,33.42988,35.325,46.67062
Alabama,1,1996,29.39924,30.8625,46.67062
Alabama,1,1997,36.02787,39.14286,51.50401
Alabama,1,1998,41.35292,45.125,51.50401
Alabama,1,1999,43.8336,75.5,83.07379
Alabama,1,2000,32.09575,66.25,83.07379
Alabama,1,2001,34.73193,70,83.07379
Alabama,1,2002,33.77884,67.25,83.07379
Alabama,1,2003,28.70806,30.19643,46.09972
Alabama,1,2004,39.14338,41.01786,46.09972
Alabama,1,2005,40.31812,42.625,46.09972
Alabama,1,2006,40.31423,43.75,46.09972
Alabama,1,2007,47.25583,51.01997,45.21917
Alabama,1,2008,48.36924,52.26786,45.61985
Alabama,1,2009,27.26303,28.91111,42.33328
Alabama,1,2010,19.2529,20.48163,41.78271
Alabama,1,2011,36.02374,4.87143,20.54358
Alabama,1,2012,37.57097,8.6875,19.95599
Alabama,1,2013,35.78529,10.25,19.0589
Alabama,1,2014,,,19.0589
Alaska,2,1960,67.42435,87.5,100
Alaska,2,1961,70.44183,88.06491,97.15236
Alaska,2,1962,70.84628,88.06491,97.15236
Alaska,2,1963,63.86697,76.49254,92.88091
Alaska,2,1964,63.87877,76.49254,92.88091
Alaska,2,1965,66.17313,83.16666,100
Alaska,2,1966,66.74667,83.83334,100
Alaska,2,1967,44.68911,26.5,46.71631
Alaska,2,1968,55.37986,33.5,46.71631
Alaska,2,1969,54.35403,41.875,51.85765
Alaska,2,1970,71.48432,63.5,51.85765
Alaska,2,1971,70.26427,83.3125,84.16553
Alaska,2,1972,73.82514,85.4375,84.16553
Alaska,2,1973,54.44246,64.65897,67.76886
Alaska,2,1974,55.36886,57.97436,67.76886
Alaska,2,1975,50.00179,53.125,57.40521
Alaska,2,1976,39.68948,43.25,57.40521
Alaska,2,1977,44.31893,48.625,57.40521
Alaska,2,1978,44.3133,50.375,57.40521
Alaska,2,1979,41.83323,37.625,47.66587
Alaska,2,1980,42.22034,41.05,47.66587
Alaska,2,1981,34.49155,39.18129,51.77294
Alaska,2,1982,37.84078,43.13802,51.77294
Alaska,2,1983,45.21283,61.25342,55.41304
Alaska,2,1984,46.41699,61.2906,55.41304
Alaska,2,1985,44.593,63.33484,59.90655
Alaska,2,1986,51.07051,69.44859,59.90655
Alaska,2,1987,54.97746,75.33775,62.9996
Alaska,2,1988,53.86577,74.72948,62.9996
Alaska,2,1989,46.69838,68.01029,62.76421
