"FIPS","V2","mort","wht.inf.mort"
1,2012,13,6.6
2,2012,7.3,3.7
4,2012,9.4,5.4
5,2012,11.3,6.2
6,2012,5.7,4.6
8,2012,9.7,5.3
9,2012,9,4.5
10,2012,12.5,5.9
11,2012,11.6,4.2
12,2012,10.4,5.1
13,2012,9.6,5.2
15,2012,6.2,4.3
16,2012,NA,5.3
17,2012,11.1,5.4
18,2012,12.7,6.4
19,2012,8.9,4.7
20,2012,11.3,6
21,2012,10.1,6.4
22,2012,11.6,6
23,2012,NA,5.9
24,2012,10.5,4.5
25,2012,5.6,4.3
26,2012,12.5,5.4
27,2012,7.2,4.4
28,2012,13,6.7
29,2012,11.4,5.8
30,2012,8.7,5.6
31,2012,8.2,4.8
32,2012,7.3,5
33,2012,NA,4.3
34,2012,7.5,4
35,2012,6.3,5.6
36,2012,7,4.4
37,2012,12,5.6
38,2012,13,5.1
39,2012,13.4,6.2
40,2012,11.2,6.3
41,2012,5.9,4.9
42,2012,10.8,6
44,2012,8.6,5.9
45,2012,11,5.6
46,2012,12.3,6.1
47,2012,12.2,6.3
48,2012,8.6,5.4
49,2012,7.3,4.9
50,2012,NA,4.8
51,2012,10.8,5.1
53,2012,6.4,4.6
54,2012,15,7
55,2012,11.7,5.1
56,2012,NA,6
1,2011,13.1,6.9
2,2011,7.6,3.9
4,2011,9.4,5.7
5,2011,11.6,6.3
6,2011,6,4.7
8,2011,9.7,5.6
9,2011,9.2,4.8
10,2011,11.9,6.2
11,2011,12.5,5.2
12,2011,10.7,5.3
13,2011,10.4,5.3
15,2011,6.5,4.7
16,2011,NA,5.5
17,2011,11.3,5.4
18,2011,13.1,6.6
19,2011,8.3,4.8
20,2011,12.2,6.2
21,2011,10.4,6.2
22,2011,12.1,6
23,2011,NA,5.9
24,2011,11.2,4.6
25,2011,5.9,4.4
26,2011,13,5.6
27,2011,7.7,4.5
28,2011,13.3,6.9
29,2011,12.3,5.8
30,2011,8.2,5.8
31,2011,9,5.2
32,2011,7.5,5.4
33,2011,NA,4.6
34,2011,7.8,4
35,2011,6.7,5.4
36,2011,7.1,4.5
37,2011,12.6,5.8
38,2011,12,5.5
39,2011,13.6,6.3
40,2011,11.6,6.5
41,2011,6.3,4.9
42,2011,11.2,6
44,2011,9.4,6
45,2011,11.3,5.7
46,2011,11.2,5.8
47,2011,12.9,6.3
48,2011,8.8,5.5
49,2011,7.5,5
50,2011,NA,4.9
51,2011,11.2,5.4
53,2011,6.4,4.5
54,2011,15.2,7
55,2011,11.8,5.3
56,2011,NA,6.3
1,2010,13.4,7
2,2010,8.7,4.3
4,2010,9.4,5.8
5,2010,12.2,6.5
6,2010,6.1,4.7
8,2010,9.6,5.7
9,2010,9.9,4.9
10,2010,12.3,5.9
11,2010,13.3,5.6
12,2010,10.8,5.5
13,2010,10.9,5.4
15,2010,6.6,4.5
16,2010,7.6,5.9
17,2010,11.5,5.6
18,2010,14.2,6.5
19,2010,8.2,4.9
20,2010,12.8,6.3
21,2010,11,6.4
22,2010,12.9,6.1
23,2010,5.9,5.8
24,2010,11.2,5
25,2010,6,4.6
26,2010,13.2,5.8
27,2010,7.7,4.6
28,2010,13.6,7
29,2010,12.6,6
30,2010,8.9,5.7
31,2010,9.2,5.2
32,2010,7.9,5.4
33,2010,5.4,4.8
34,2010,8,4.1
35,2010,6.3,5.6
36,2010,7.3,4.6
37,2010,13.2,5.8
38,2010,12.4,5.3
39,2010,13.8,6.2
40,2010,11.8,6.6
41,2010,6.4,5.1
42,2010,11.8,6.2
44,2010,9.9,5.8
45,2010,11.7,5.7
46,2010,11.7,5.9
47,2010,13.6,6.5
48,2010,9.1,5.6
49,2010,7,4.9
50,2010,9.1,5
51,2010,11.2,5.4
53,2010,6.4,4.5
54,2010,17,7.1
55,2010,12.3,5.2
56,2010,14,6.3
1,2009,13.6,7.1
2,2009,9.4,4.6
4,2009,9.4,6
5,2009,12.9,6.4
6,2009,6.3,4.8
8,2009,9.9,5.8
9,2009,10.2,5
10,2009,13.5,5.8
