"STATEFIP","YEAR","tot","child","child.pov","wht","wht.child","wht.child.pov","wht.lessHS","blk","blk.child","blk.child.pov","blk.lessHS","amind","amind.child","amind.child.pov","amind.lessHS","lessHS","latino","latino.child","latino.child.pov","latino.lessHS","foreign","foreign.child","foreign.child.pov","foreign.lessHS","adult","welf","wht.welf","w.adult","b.adult","a.adult","l.adult","blk.welf","latino.welf","amind.welf","wht.unemp","blk.unemp","latino.unemp","amind.unemp","unemp","wht.emp","blk.emp","latino.emp","amind.emp","emp","blk.singpar","latino.singpar","amind.singpar","wht.singpar","singpar","wht.f","blk.f","amind.f","f"
1,2000,4446543,1124467,247814,3125399,712112,86812,0.219583882965298,1153246,359833,148957,0.334072952125168,22955,6522,1244,0.300847457627119,0.24792044077322,72152,23480,6927,0.412649040953862,115901,17569,2957,18922,3322076,42727,20405,2413287,793413,16433,48672,20802,632,365,65814,54812,1929,1093,126222,1458001,400800,31656,9807,1930919,191762,5006,1736,119308,323844,1254072,443215,8622,1753354
1,2001,4349601,1126591,270578,3062953,722084,106586,0.201218922317887,1122061,359927,150586,0.263417472366835,12985,2399,541,0.298967863007272,0.216767251769711,70025,19992,9034,0.370098418096563,112591,15868,3152,15877,3223010,23605,7392,2340869,762134,10586,50033,15773,0,0,87499,59515,3732,376,156192,1406315,431251,33887,6203,1909093,217459,4128,92,145854,377266,1217527,436028,4128,1706680
1,2002,4370221,1103708,277460,3057240,693876,94670,0.191821137998273,1118871,346949,161451,0.263783162722372,13523,2520,248,0.217892360698586,0.211528552080155,86450,29917,12831,0.378726853610963,134891,25633,8677,19763,3266513,23893,7877,2363364,771922,11003,56533,15747,0,0,87987,68419,3499,334,162743,1432354,432432,38197,7558,1947679,200508,10528,248,113062,334235,1227834,438777,4750,1732415
1,2003,4385446,1100434,266389,3066260,692589,89138,0.197101926956917,1146950,355021,163066,0.251168565585744,11548,2380,638,0.38651817116061,0.212577827987343,84021,22549,5999,0.369213778842991,136108,19425,3712,18836,3285012,30287,8768,2373671,791929,9168,61472,21271,0,0,98973,78852,3286,335,184506,1439797,424418,47117,4055,1944275,216728,1969,339,128068,357575,1231373,450321,4898,1737882
1,2004,4414559,1088943,267185,3084123,683921,96243,0.188785180587716,1149346,350751,148285,0.249952935683788,21992,4662,544,0.119447579841976,0.20622922811982,86116,26939,15541,0.358393282427754,133186,19404,5425,20314,3325616,29061,11528,2400202,798595,17330,59177,17237,0,0,78974,66765,2550,416,152048,1468051,444609,40739,11126,1991575,203128,8758,333,140192,362152,1242163,452310,8122,1753802
1,2005,4448075,1081657,274136,3077962,666873,95837,0.174070986353151,1162215,343781,154686,0.258970842988426,24841,5636,2183,0.258376214979989,0.197988091487859,98624,34335,13475,0.436724145235775,142713,21745,7118,21972,3366418,25131,13692,2411089,818434,19205,64289,10742,493,66,82573,65662,3369,1008,154943,1447985,461393,44795,11912,2000148,206239,12217,1656,125945,353411,1249671,459463,9371,1776246
1,2006,4599030,1119516,273666,3169106,697937,104919,0.177206958142497,1214685,349667,147191,0.252883982247155,20168,4637,1207,0.243882112281233,0.2004561615575,109325,39998,12957,0.447694106264613,149757,17127,4716,25149,3479514,32864,14529,2471169,865018,15531,69327,17744,78,189,76970,65614,3820,609,149014,1460552,460854,48646,9409,2015316,194119,15790,1571,148188,367945,1280381,474470,8727,1827557
1,2007,4585900,1116236,280214,3145614,686909,103598,0.176584362409145,1214217,349563,152024,0.260349248992551,21625,4907,1178,0.25,0.201286403236739,112961,43156,15412,0.435651796005517,152870,19814,5758,26802,3469664,28183,13303,2458705,864654,16718,69805,14252,202,119,76996,64391,2969,711,147406,1448609,467386,48547,10019,2012139,203115,13417,1306,140349,368922,1277346,475587,8342,1823429
1,2008,4625354,1118398,268466,3175762,692355,102939,0.168445101825932,1209977,338375,140234,0.24533544209109,21832,5381,1086,0.261410211879125,0.191979525043751,121498,49070,16744,0.426041685112713,156160,18403,4887,28633,3506956,28628,12612,2483407,871602,16451,72428,15153,365,143,78440,63166,2917,989,147942,1478035,477997,51174,9405,2056677,194459,15123,2033,142708,365276,1285526,481461,8561,1839625
1,2009,4633304,1124296,275127,3173015,690675,99972,0.168238825392368,1210409,341541,145148,0.245942323848277,23256,5897,1527,0.241871791496643,0.191759950332147,130654,53003,20203,0.426921824941322,161452,21238,6373,28396,3509008,28918,14116,2482340,868868,17359,77651,13802,391,108,91868,69934,4480,1077,170140,1458699,473927,53412,10125,2034617,200251,17077,1910,138773,369007,1287329,479313,8759,1842225
1,2010,4712651,1132376,285480,3189743,684041,104415,0.162128076140928,1233049,349400,149252,0.235963519798237,24887,6303,1669,0.260489400515821,0.186740857418593,162112,58304,21923,0.440065855860641,185381,21112,6077,37054,3580275,30470,14586,2505702,883649,18584,103808,14856,422,167,103353,78511,6788,1307,193277,1459102,470941,73382,10721,2055317,205329,18101,2165,143530,380106,1296870,488441,9390,1874900
1,2011,4747424,1131599,295316,3195098,678425,108717,0.157568337366498,1246742,347276,151946,0.228779018738755,25947,6464,1920,0.260976487523992,0.182137233372556,173830,63512,24856,0.441050414063635,192795,22072,6449,41060,3615825,31391,15407,2516673,899466,19483,110318,14922,443,104,115634,85644,7801,1453,214235,1441362,473688,76916,11231,2044615,211132,18599,1802,143869,387298,1303550,495114,9689,1891129
1,2012,4777326,1129810,300456,3202884,673644,108703,0.150974976415341,1257785,345862,154109,0.218863247263163,26071,6181,1699,0.252180530351812,0.175257373478498,182097,66221,26952,0.434555330802973,197496,21719,6542,42137,3647516,35146,17511,2529240,911923,19890,115876,16368,511,129,125242,91005,9133,1921,230899,1431501,472452,78920,10653,2035058,213596,19636,1671,139598,386965,1308924,502134,10072,1907801
1,2013,4799277,1123002,311980,3206409,666646,112631,0.145718251722917,1262698,340621,156673,0.210735676588643,25884,6118,1779,0.242786187322611,0.169704102326621,188712,69456,30421,0.436120828108156,200078,20729,6335,42843,3676275,37792,19171,2539763,922077,19766,119256,17310,483,103,131477,94809,8760,1608,240867,1411151,471666,80012,10704,2016196,212070,21775,1319,144217,393151,1313799,507251,10189,1922474
1,2014,4817678,1117419,319968,3207231,660278,116903,0.139726996442708,1270246,336429,157631,0.206062202437788,26181,6067,1654,0.232349165596919,0.164178072744165,192140,71413,32037,0.427750034605024,197704,18843,5857,42413,3700259,38906,19482,2546953,933817,20114,120727,17911,706,218,123279,91300,7943,1631,228396,1408723,476254,79856,10331,2019902,210530,22559,1303,145052,394570,1316992,513627,10267,1935855
2,2000,626187,189036,24206,421661,110021,9001,0.0707855186199748,23313,8220,1063,0.122254943205722,97157,37444,9171,0.297382375932225,0.117262268239566,25742,9941,1670,0.202938706968934,46323,7013,685,7592,437151,22953,11064,311640,15093,59713,15801,817,792,8012,15276,1176,1406,8259,28892,224350,11313,10703,29337,298322,3065,2778,12994,20147,45645,147745,6978,30868,210620
2,2001,615531,190955,19930,416845,112353,8994,0.0614668174962293,20678,7942,585,0.0874408517350158,86364,31454,6845,0.287391304347826,0.103903822923231,25870,11349,1033,0.194407691629179,43605,6610,393,5697,424576,14360,7762,304492,12736,54910,14521,873,294,3287,12863,698,1087,4610,21740,222267,9436,10884,32979,303000,2982,3268,13502,24105,53102,145564,5882,28932,208455
2,2002,624252,190789,22702,422341,112354,11233,0.0647042457699714,18711,6074,732,0.139756142619619,82883,30974,5931,0.240708213307103,0.103043565281206,25156,10092,1381,0.130615424565048,44668,8519,736,5227,433463,13541,6778,309987,12637,51909,15064,1225,1408,3508,15528,1269,1389,8040,31163,224354,9007,10345,29004,302613,2602,3451,7167,26107,45557,148162,6287,28787,212864
2,2003,629832,188097,26855,425512,109771,8179,0.0540190257997481,22014,7524,864,0.0969631952467404,92677,33467,11589,0.231199208840349,0.0887204540749245,28011,10964,2434,0.1644323905463,48567,8910,995,6751,441735,20352,8801,315741,14490,59210,17047,784,879,8313,16799,874,1342,14323,35786,227748,11552,12489,28065,304484,3102,4132,13911,22659,50497,151745,7006,30386,216406
2,2004,635963,187721,22307,427008,107394,6533,0.059603305785124,21428,7458,1398,0.097189997422016,81748,29820,7934,0.182183523107837,0.0863912965764151,30293,11769,1729,0.13050405561993,50120,9276,1038,5907,448242,17459,7933,319614,13970,51928,18524,1217,1416,3634,15047,1362,1819,7845,31164,228906,9711,13685,28838,310179,3176,5011,11046,22502,50640,153471,6795,29068,222554
2,2005,658002,192913,27825,443301,112003,11075,0.0555842330910082,23869,9329,3060,0.071320544455942,94204,34754,9390,0.196213425129088,0.0859554753653407,29219,11377,2088,0.127935346142116,44152,5523,601,5756,465089,19626,9072,331298,14540,59450,17842,1636,446,6295,15146,2259,1898,9641,31458,235274,9237,12346,32188,317766,4525,2223,9975,27791,51341,160313,7335,30205,230881
2,2006,670053,176106,29518,445991,98792,8497,0.0601708588800761,23621,6318,1620,0.0986303409260086,84082,26196,9242,0.225971778487753,0.098353556058082,37142,11845,2771,0.241980432849096,55290,6633,1242,7668,493947,18486,9280,347199,17303,57886,25297,108,827,5442,17185,748,2153,7577,31290,243296,13424,18978,29730,337978,3171,2844,9480,19001,41158,165714,10402,31329,241369
2,2007,676778,183698,27570,450148,104477,9277,0.0572085363343169,27009,9668,2579,0.104991655287513,90466,29036,8728,0.214776667555756,0.0945256824402634,37235,12579,2376,0.221664526672114,54419,6112,793,7929,493080,18853,8212,345671,17341,61430,24656,854,698,5874,15130,1393,2156,9679,31131,247301,12589,17799,29630,338495,4360,2984,10124,22536,48613,163415,8088,31216,237590
2,2008,681235,178872,25932,452070,101481,8729,0.0548746934422109,22336,5756,1000,0.108421384639647,91041,29029,8194,0.209908945912661,0.092374544775196,38270,12660,2435,0.236856427560684,55038,5534,654,7298,502363,18701,8328,350589,16580,62012,25610,586,809,5300,15030,857,2185,8806,29613,252780,12389,18794,31007,349991,2438,4053,10701,21289,50206,164832,7642,31282,240267
2,2009,683142,183553,25461,448104,102518,9080,0.0559918013488997,25377,7367,1062,0.0945592954698112,92075,29645,7926,0.20229734433547,0.0891971445503749,39845,14668,2997,0.191476185114289,56407,6837,1066,7104,499589,18967,8920,345586,18010,62430,25177,706,787,5534,16062,985,1960,8844,31136,247387,13642,18242,31124,344961,2672,4425,10113,21480,48205,161646,8075,31384,238147
2,2010,691189,185127,26841,444526,99404,9586,0.0537127376793734,22611,5932,622,0.0933282208588957,98097,32434,8575,0.201780299325051,0.0911465546057972,38500,14246,2157,0.24095352426685,60596,6252,744,8990,506062,18540,8481,345122,16679,65663,24254,509,831,5272,15414,835,1490,9121,30263,247698,12634,18240,33091,351478,1889,4409,12730,21486,51826,161974,7288,33301,242402
2,2011,700703,185955,26950,450744,99315,10103,0.048078618454977,24023,6331,476,0.0948471743751374,98596,32156,8248,0.184191331720987,0.0827273621171612,39279,14374,2148,0.188177018126395,58419,5651,1014,8254,514748,18184,8554,351429,17692,66440,24905,732,926,4634,15141,1041,1522,9329,30676,250415,13177,18990,34168,356766,2067,4398,12691,22735,54925,165192,7834,33472,247266
2,2012,711139,186233,28079,454920,97920,9769,0.0461784064589576,24595,6527,538,0.0841774860893137,99564,32264,9125,0.181840537217441,0.0797635276243981,40221,14853,2722,0.15665019395292,58913,6604,1020,7896,524906,20070,9390,357000,18068,67300,25368,899,954,5088,15968,1083,1419,9208,31533,250850,13475,19487,34145,359467,2190,4928,12887,22632,55336,167257,8000,34114,251460
2,2013,720316,187264,28158,457679,97533,9244,0.0459806169338279,25950,7033,573,0.110741741117806,101764,32824,9760,0.186393754268101,0.0817743208206516,42655,15565,2729,0.138784508241896,58917,6312,966,8542,533052,20313,9535,360146,18917,68940,27090,1113,865,5273,16108,1652,1367,9585,32701,250932,13653,20777,34345,361909,2511,4664,13122,22621,54903,168411,8101,34754,254139
2,2014,728300,187878,29448,458532,96296,8849,0.0444010538133181,25704,6416,905,0.110697289468239,102931,33366,10289,0.185996141385461,0.0813869239635189,45281,16127,2829,0.140646123723836,60546,7075,1152,9220,540422,20406,9526,362236,19288,69565,29154,1205,921,5196,14623,2055,1432,9668,31745,252521,13588,22667,34026,366590,2505,4739,13516,21823,56005,168670,8224,35188,256519
4,2000,5133711,1360559,271327,3273021,676830,63600,0.107578862947781,154300,47945,14194,0.188612919956204,253136,96928,42779,0.383617207208693,0.190055523947036,1292152,489281,145898,0.474897995684143,707965,107441,37455,225532,3773152,63678,29338,2596191,106355,156208,802871,3425,18011,11237,67565,6761,39809,16226,134295,1577555,66108,473046,71036,2260816,24640,133438,36035,140911,344170,1337026,49900,82151,1917361
4,2001,5183424,1472064,304849,3249957,720276,68281,0.115283949222654,154915,59486,13399,0.172518905737226,240012,96607,40795,0.379843565764485,0.195844772382366,1364124,541122,178865,0.461810443820188,723469,99455,34133,229715,3711360,42540,20465,2529681,95429,143405,823002,1474,10970,5488,75775,6833,61618,13476,166045,1523833,66918,531676,76923,2272319,26056,179132,50196,177479,446112,1309731,47456,76856,1905869
4,2002,5349497,1478982,333725,3306205,712125,88967,0.101516075314344,147334,44413,14505,0.155372332842275,241217,93995,37861,0.302356009821664,0.18000101654565,1464027,560832,184051,0.441563513738017,755541,98734,41323,245090,3870515,48788,26137,2594080,102921,147222,903195,1879,15671,2784,116513,6582,60963,12788,201263,1525207,66367,590175,79646,2342720,24042,168115,39131,161061,418108,1336128,51938,80474,1976045
4,2003,5490147,1527748,328989,3353504,727306,64239,0.0846879322558516,167409,53639,17974,0.141911795648698,260591,97695,45957,0.287021610720065,0.16454267442606,1536846,594837,198285,0.414703552222344,823870,101451,36305,247711,3962399,55619,27149,2626198,113770,162896,942009,3316,16532,7832,100807,8825,64802,17314,195423,1582487,69225,606606,78040,2417356,25758,223040,53582,165648,480122,1351389,56077,85442,2010097
4,2004,5638345,1544908,344021,3427787,716909,90296,0.085716220322498,168560,52621,21694,0.12934632894889,277413,104459,44356,0.307185064657018,0.163491694235175,1592198,614439,183728,0.40319860835096,862424,112110,43282,250151,4093437,59407,28860,2710878,115939,172954,977759,5101,13361,11140,89671,11527,51038,19650,176223,1644694,67143,639670,88939,2510302,23647,168434,50698,156977,411152,1396597,57808,94822,2082464
4,2005,5806266,1560312,327498,3485171,708792,68405,0.0762974331039724,180356,56428,14687,0.144672035024627,271972,101339,45375,0.308366395892463,0.159952358859659,1679116,632611,191402,0.398379999460082,911967,112698,41666,263031,4245954,55768,26079,2776379,123928,170633,1046505,2392,15882,9957,86890,7566,60698,17373,175688,1693838,81087,711145,82386,2653927,27616,204501,45970,170925,461009,1425895,61314,90059,2150254
4,2006,6166318,1617997,335429,3678369,729612,71816,0.07943755127548,208772,63449,19176,0.133698448120198,278307,97733,43615,0.275686336610858,0.162675620061848,1796643,665686,194613,0.398870106001986,986131,111170,35064,296773,4548321,49025,21636,2948757,145323,180574,1130957,3562,12570,9762,77267,6243,46026,12474,147087,1782525,91113,756578,89874,2811917,29463,198284,43729,169096,457350,1513166,68303,97081,2287613
4,2007,6152175,1614102,340390,3664416,715556,70588,0.0797360112834632,209057,68095,20532,0.137558053734971,276274,94792,41458,0.295166524582883,0.164871246314125,1792350,668839,199650,0.405926859883006,984763,112579,39953,300017,4538073,53885,24961,2948860,140962,181482,1123511,2939,15212,9434,85433,8359,54419,16709,169638,1763187,86920,747596,87463,2777229,34600,209985,41980,169659,471208,1515890,65543,94520,2287188
4,2008,6343952,1668716,353820,3729401,721921,69490,0.0760652959625553,223196,71885,21020,0.131869278108978,287849,97910,40795,0.282411922258087,0.16335001690428,1880688,706451,213939,0.405305666243424,1009815,106225,38476,319924,4675236,53985,25180,3007480,151311,189939,1174237,3599,15917,7918,88072,9196,54304,16778,173577,1805149,92433,785089,93174,2875034,37108,229550,44118,169791,498590,1542937,70044,99593,2351921
