"STATEFIP","YEAR","tot","wht","wht.child","wht.child.pov","wht.lessHS","blk","blk.child","blk.child.pov","blk.lessHS","amind","amind.child","amind.child.pov","amind.lessHS","latino","latino.child","latino.child.pov","latino.lessHS","foreign","foreign.child","foreign.child.pov","foreign.lessHS","child","child.pov","adult","welf","wht.welf","blk.welf","latino.welf","amind.welf","wht.snap","blk.snap","latino.snap","amind.snap","wht.unemp","blk.unemp","latino.unemp","amind.unemp","wht.emp","blk.emp","latino.emp","amind.emp","blk.singpar","latino.singpar","amind.singpar","wht.singpar"
1,2007,4585900,3145614,686909,103598,0.176584362409145,1214217,349563,152024,0.260349248992551,21625,4907,1178,0.25,112961,43156,15412,0.435651796005517,152870,19814,5758,26802,1116236,280214,3469664,28183,13303,14252,202,119,218004,331940,11651,2923,76996,64391,2969,711,1448609,467386,48547,10019,203115,13417,1306,140349
1,2008,4625354,3175762,692355,102939,0.168445101825932,1209977,338375,140234,0.24533544209109,21832,5381,1086,0.261410211879125,121498,49070,16744,0.426041685112713,156160,18403,4887,28633,1118398,268466,3506956,28628,12612,15153,365,143,225210,318224,15837,3147,78440,63166,2917,989,1478035,477997,51174,9405,194459,15123,2033,142708
1,2009,4674628,3190282,690758,101149,0.162689063556301,1217295,337525,140396,0.235961388521645,22778,5637,1188,0.262065282691409,140568,57240,21182,0.428199914889593,170084,20734,5686,32180,1127433,271933,3547195,28804,13672,13919,500,122,255637,340765,22094,3486,99579,74024,4817,1225,1467748,482434,57718,9873,202229,16806,1708,142082
1,2010,4753812,3200315,680325,104537,0.155273754805358,1246808,347647,150655,0.225556091385858,26374,6681,1475,0.270980296764777,173962,63006,23174,0.453419155011373,194986,22322,6359,41096,1133702,288706,3620110,31866,15742,14901,589,222,308275,388213,28984,4652,123617,89246,8857,1668,1447564,472994,77968,11105,210440,19540,2055,141415
1,2011,4782021,3204959,673320,112807,0.152449977897052,1258836,347155,157707,0.221124448617575,26489,6356,2054,0.255350892293567,183764,67089,28111,0.465218232956422,200423,22873,7022,45883,1129979,309375,3652042,34755,18019,15663,334,87,371464,444800,34657,5161,139586,99703,10156,1578,1412708,463765,79769,11344,215262,20552,1432,145339
1,2012,4803488,3206849,667709,116396,0.147167083187807,1271897,345671,161347,0.213955693715796,26305,5917,1727,0.249489468463738,189492,70190,29303,0.443497009621219,199826,21702,6950,45008,1128594,318575,3674894,38556,19404,18160,291,118,407682,475481,43067,5321,133293,97068,10212,2311,1407114,464867,80489,10417,218132,20513,1227,140811
1,2013,4817624,3207868,660036,113401,0.140661201332548,1272313,337096,157031,0.20261338970624,24002,5056,1027,0.209742155193384,192599,72241,33728,0.402140889242195,197235,18549,6334,39349,1117908,317027,3699716,41256,20691,19268,551,60,416739,479609,52922,5105,125461,91002,7715,1393,1402777,477271,78109,9927,211345,22269,905,140539
1,2014,4817678,3207231,660278,116903,0.139726996442708,1270246,336429,157631,0.206062202437788,26181,6067,1654,0.232349165596919,192140,71413,32037,0.427750034605024,197704,18843,5857,42413,1117419,319968,3700259,38906,19482,17911,706,218,403835,467718,49245,6225,123279,91300,7943,1631,1408723,476254,79856,10331,210530,22559,1303,145052
2,2007,676778,450148,104477,9277,0.0572085363343169,27009,9668,2579,0.104991655287513,90466,29036,8728,0.214776667555756,37235,12579,2376,0.221664526672114,54419,6112,793,7929,183698,27570,493080,18853,8212,854,698,5874,24178,3562,4183,27179,15130,1393,2156,9679,247301,12589,17799,29630,4360,2984,10124,22536
2,2008,681235,452070,101481,8729,0.0548746934422109,22336,5756,1000,0.108421384639647,91041,29029,8194,0.209908945912661,38270,12660,2435,0.236856427560684,55038,5534,654,7298,178872,25932,502363,18701,8328,586,809,5300,22425,2059,5093,27093,15030,857,2185,8806,252780,12389,18794,31007,2438,4053,10701,21289
2,2009,689633,450070,101223,8557,0.0536019142798769,26245,7255,518,0.0963041933191187,93388,30033,7191,0.195915749814626,41726,14954,3057,0.196323416457576,58915,6446,760,7061,182207,24010,507426,18225,8616,597,821,4850,25057,2640,5274,28012,16014,961,1921,9012,250914,14340,19733,31944,2692,5322,10808,21912
2,2010,700113,448953,98347,9656,0.0515357452195349,23912,6843,254,0.0743426353182451,99028,33255,7966,0.183639656301776,39443,14662,2131,0.222675980655562,60600,5989,793,8467,185322,25658,514791,19483,9296,484,756,5286,27583,2312,4952,32558,16673,782,1334,8764,250646,13073,19194,34189,1968,5038,13327,21752
2,2011,711920,455860,99085,10682,0.0465700898926961,25351,7262,456,0.0831335495698773,100863,32304,8533,0.172662817595396,39865,14758,1979,0.164827000636807,59287,5607,1381,8684,187751,27956,524169,18758,9450,717,944,4506,31502,3160,5340,33688,17246,1396,1348,9456,248980,13505,19266,35487,2593,4162,13389,22984
2,2012,723120,459922,97705,10073,0.0431735099678126,26054,6636,823,0.0937938406039148,103000,32781,10004,0.184553971783748,42113,15262,2486,0.15618528059807,58695,6723,1078,8875,187329,29535,535791,21281,9478,1198,1051,5495,34495,4541,7880,35893,15756,1669,1163,10452,251125,14379,20997,34020,2441,4686,13935,22952
2,2013,729603,460194,96654,9010,0.0414835569031581,26531,6500,902,0.151454036822588,103040,32312,10385,0.188417016220498,45802,16044,3168,0.0893319061635893,57027,6703,907,8308,187440,28579,542163,21302,9622,1774,945,5446,34508,4844,8139,35617,14245,2112,1650,9391,253648,13909,23139,34504,2694,5003,12170,23348
2,2014,728300,458532,96296,8849,0.0444010538133181,25704,6416,905,0.110697289468239,102931,33366,10289,0.185996141385461,45281,16127,2829,0.140646123723836,60546,7075,1152,9220,187878,29448,540422,20406,9526,1205,921,5196,32424,4545,7461,35922,14623,2055,1432,9668,252521,13588,22667,34026,2505,4739,13516,21823
4,2007,6152175,3664416,715556,70588,0.0797360112834632,209057,68095,20532,0.137558053734971,276274,94792,41458,0.295166524582883,1792350,668839,199650,0.405926859883006,984763,112579,39953,300017,1614102,340390,4538073,53885,24961,2939,15212,9434,206864,35109,287545,81916,85433,8359,54419,16709,1763187,86920,747596,87463,34600,209985,41980,169659
4,2008,6343952,3729401,721921,69490,0.0760652959625553,223196,71885,21020,0.131869278108978,287849,97910,40795,0.282411922258087,1880688,706451,213939,0.405305666243424,1009815,106225,38476,319924,1668716,353820,4675236,53985,25180,3599,15917,7918,213727,39457,332795,87951,88072,9196,54304,16778,1805149,92433,785089,93174,37108,229550,44118,169791
4,2009,6485798,3745935,726883,75563,0.0747451145556335,242493,77165,23739,0.131088372093023,288665,95802,40618,0.292870284570861,1968280,737041,234334,0.397634125372319,1020656,98414,37652,323513,1713716,381773,4772082,61920,28809,4126,20056,7676,253785,55812,410786,100402,116870,12815,78445,19803,1783995,97780,802778,92347,39688,250970,43558,176304
4,2010,6345751,3690771,685221,83830,0.0696110102610823,253035,75343,22657,0.121525429637118,280640,93412,40590,0.284088165292677,1867057,697935,234084,0.37660338071726,936869,85387,33609,283554,1628951,386987,4716800,67486,31832,4286,22059,7960,316046,62774,477105,104093,142816,15904,93718,21361,1734961,102416,723460,85375,38925,245276,44165,167810
4,2011,6412940,3701785,675978,97767,0.0688857680700391,259410,77544,22938,0.112599416845765,285614,93035,44108,0.274310209823621,1907480,703576,249160,0.361064380976749,931118,78707,31417,280235,1627222,420288,4785718,74814,36674,4462,23407,8948,393211,69898,548373,116224,166595,18958,114630,24376,1687656,100893,711521,84966,40842,257594,45506,172196
4,2012,6477128,3715372,669095,103730,0.0662764563866824,269471,78898,24145,0.108117608003697,289468,92957,43448,0.256099798202165,1938674,704447,259399,0.355239797927122,935311,73553,30488,282405,1622707,440272,4854421,75180,38985,4551,21477,8747,433093,76895,602573,121702,164032,19932,111979,25660,1675741,107595,725446,87137,42761,260458,44058,171028
4,2013,6548856,3732154,664671,102333,0.0632399681066443,275670,78670,25314,0.111609692420658,287119,89884,43994,0.250458816739191,1969996,699003,266149,0.354934798169361,947131,68814,27681,287905,1616275,449830,4932581,73016,37582,5039,21249,7793,426108,79030,626972,125858,145474,18374,103313,24220,1684983,113088,749891,88985,42106,266420,42345,166541
4,2014,6561527,3734815,664956,98342,0.0627834490008354,275657,78137,25527,0.107757862188592,289979,91166,42489,0.248962843003787,1976546,700979,260256,0.353486156870011,955780,72634,28437,289045,1619865,437671,4941662,73543,37171,4841,21776,8108,414888,78621,612343,122403,146075,18855,102297,23936,1687946,112432,757914,87661,42127,261381,43351,160606
5,2007,2805353,2137026,468467,90098,0.171074536068705,436012,137561,67160,0.241097355633641,20047,5602,1630,0.271546442284127,141634,56427,21438,0.512735258184742,127326,16942,5644,35438,695258,187543,2110095,21000,13739,5851,511,324,223098,140162,20731,3933,58915,28549,4589,772,987660,160891,59907,7691,83182,19344,1791,106851
5,2008,2830047,2145855,466191,84894,0.164257450005085,436480,132374,63400,0.22995691337082,19345,5655,1694,0.215591299579602,150080,61679,23662,0.504703880883486,127852,15658,5549,37149,698149,181298,2131898,21823,14113,6021,625,143,225855,140683,24176,3669,58783,27398,4796,697,989787,167522,62339,7464,80402,21403,1495,106528
5,2009,2866470,2160039,471114,85906,0.156576319388663,440625,130729,64624,0.229024080607762,17740,5466,1590,0.17873667270167,161857,66660,27471,0.510948405638429,135071,15743,5440,40628,706633,187572,2159837,22776,14044,6741,968,168,237824,148895,29303,3821,65675,28950,5618,768,990652,166813,65856,7466,80930,19592,1803,109840
5,2010,2897671,2166915,466408,90403,0.148528732476094,449629,134369,65184,0.225388417523258,18239,4881,1456,0.155829596412556,176776,72161,29364,0.508341335381858,140534,15897,6038,42078,709300,194973,2188371,23852,14797,6622,1620,166,264560,158872,35086,3698,76625,31439,6546,1010,978322,166194,72754,7944,84509,23428,1635,113824
5,2011,2918803,2174721,463589,94204,0.143061886363133,453326,134860,63949,0.221232647924742,19228,4828,1135,0.173493369145543,186178,75389,29978,0.495242900389217,145575,18255,6548,43838,709166,198701,2209637,28426,17276,8516,1844,285,290122,163806,41717,4047,83855,32933,8551,1137,969555,164908,74701,8796,85712,23712,1189,116883
5,2012,2936822,2179666,462021,99129,0.134139587582446,459273,135960,61901,0.210022412505028,18251,3595,1101,0.157513627857782,192872,77897,28373,0.48029062391881,146381,17741,5271,42410,710845,199404,2225977,31287,19922,8848,1778,197,312000,168183,44111,3801,81630,33480,7615,1231,962655,167325,78939,8376,86265,25685,655,114249
5,2013,2949238,2180466,459256,100282,0.13071228559444,460191,134362,61383,0.197692683277631,16876,3512,1177,0.182101706662046,198563,79538,30731,0.478724910423541,149580,16323,4518,44345,710531,202499,2238707,35815,22046,11170,1609,440,322116,169067,46464,4509,76290,32677,6382,730,957956,165398,81640,7061,83209,23627,1062,111189
5,2014,2947029,2178593,459172,98961,0.130410982314756,458881,134279,62456,0.195907922553955,18284,4012,1121,0.162124673629243,198201,79019,29545,0.477858827400867,153340,17264,5152,44516,709358,200636,2237671,31652,19156,9917,1415,335,313412,163394,44060,4210,74403,30716,6327,996,961347,168421,81566,7908,84114,23866,1058,114551
6,2007,36264467,15588981,2927123,260024,0.0760734181212587,2281366,638435,192658,0.143258021988475,260763,62175,16292,0.234221123190864,12947843,4532684,1202319,0.448785065296324,10154199,723913,220756,3082108,9417282,1812072,26847185,473800,149747,84990,178996,7247,481256,331437,1322195,30825,448953,123690,475874,14386,7802299,921063,5470274,112168,352933,1302744,24500,613912
