"","state","year","pop","whtpop","blkpop","child","blkchild","whtchild","adult","blkadult","whtadult","pov","childpov","blkpov","whtpov","blkchildpov","whtchildpov","unemp","whtunemp","blkunemp","emp","whtemp","blkemp","LessHS","wLessHS","bLessHS","kidskincare","wkidskincare","bkidskincare","kids2par","wkids2par","bkids2par","avgrent"
"14",1,2000,4331032,3056004,1109573,1111897,357177,701247,3219135,752396,2354757,709678,251473,341226,328791,144199,92022,111606,57769,49255,1918907,1454608,395551,0.200442061788905,0.17782944197799,0.265220281078721,101646,37322,59954,624810,484483,109507,460.389252803375
"2",2,2000,609202,411835,18401,186871,5472,109621,422331,12929,302214,48625,16559,1305,20709,501,5040,23803,14261,965,298447,226020,8929,0.0811154365615317,0.0431857985877418,0.0361904761904762,10665,3194,0,119181,79398,3089,813.957512315271
"4",4,2000,5019932,3198554,154745,1358820,51496,680504,3661112,103249,2518050,675209,259890,30143,237636,14086,63263,123427,59168,6418,2235079,1551778,69010,0.150077054045506,0.0749699201255726,0.11361746483492,125359,36182,8342,829955,458836,18574,655.21019527536
"5",5,2000,2601749,2036075,401318,685680,141107,483354,1916069,260211,1552721,416120,150571,131250,248635,57296,78223,67431,41487,20391,1162560,959721,137546,0.196855916692887,0.176689563091415,0.273997418749267,55950,28325,23608,390483,310716,43898,478.690864995958
"6",6,2000,33059861,15338055,2093186,9185959,658713,3187420,23873902,1434473,12150635,4660568,1824091,455329,1169495,196392,294946,1027012,360290,105259,14725700,7789115,836540,0.182141847804084,0.0667522294022706,0.125333691564556,884012,174686,104835,5796852,2176615,212085,841.011201474239
"8",8,2000,4198816,3127461,144726,1106728,44562,741382,3092088,100164,2386079,395487,137513,21046,202496,9460,56341,91462,54719,6011,2195487,1730399,69738,0.101420339515686,0.0558912106199157,0.0940518731988473,59949,22865,3510,723515,522927,20490,752.664715274082
"9",9,2000,3298200,2564587,291346,831108,99353,579322,2467092,191993,1985265,250610,87178,53053,104896,23375,24088,73454,45539,12869,1663265,1357889,121803,0.126546086543202,0.0994124893708773,0.188579824066555,51639,20950,16123,547643,443832,33792,771.777460933044
"10",10,2000,759046,553920,141615,193663,45280,125258,565383,96335,428662,65679,22234,25817,28629,10613,6378,17516,8839,7035,379378,288740,62825,0.133272200850704,0.110091911909649,0.210585013445024,18039,7303,9109,118136,92027,12126,672.824324324324
"12",12,2000,15596361,10230284,2202481,3625236,766182,2018205,11971125,1436299,8212079,1922877,650428,569459,816770,261198,210115,363223,172632,95724,7024008,4757609,862100,0.149114456823587,0.105933407108441,0.233977995661546,319568,112213,134178,2077093,1320992,238076,690.971846224124
"13",13,2000,7952057,5001549,2236000,2165941,729351,1209347,5786116,1506649,3792202,1038849,381182,528144,385359,226499,105787,200160,83762,98642,3850442,2581302,943812,0.173424356525427,0.141834053976022,0.21621268102368,197936,64814,111442,1248571,854324,245562,615.34491954023
"15",15,2000,1175450,266342,19484,290007,5607,42855,885443,13877,223487,126382,41040,1429,26198,380,3876,34732,7331,594,569893,150329,10527,0.122669221193748,0.0451166239179224,0,47111,1919,273,181280,30432,3525,891.030454318522
"16",16,2000,1261898,1111925,4338,370118,2005,307937,891780,2333,803988,162816,58444,1704,124218,976,40226,38216,30699,17,584744,527246,1481,0.121160552156272,0.0956994260074007,0.250270855904659,17221,12448,0,262140,223408,1242,549.54067674586
"17",17,2000,12098349,8203905,1796520,3240003,604940,1916006,8858346,1191580,6287899,1308248,494109,480019,509239,222280,136725,338485,163517,107661,5762227,4245604,648141,0.145274246048041,0.099432538681821,0.188557658269825,273854,77599,131933,2053798,1429505,146778,646.40044841526
"18",18,2000,5898674,5076374,476814,1568827,162171,1281134,4329847,314643,3795240,556649,195305,105864,391132,50507,119165,137994,104874,22975,2934079,2597783,190734,0.139403028456941,0.131259921695249,0.17036907068642,90169,58171,21994,983221,870360,42853,553.544699823199
"19",19,2000,2819139,2614701,60351,728282,22535,650875,2090857,37816,1963826,238818,75427,16492,199324,6648,59763,56837,48116,4016,1467612,1382004,22899,0.109481702243121,0.09949486596975,0.182093930202327,24412,18367,3130,510789,476490,6930,504.508955223881
"20",20,2000,2605802,2169395,138314,707132,46685,550227,1898670,91629,1619168,274795,89485,34339,182746,15677,51125,45929,32509,5435,1305886,1127834,54047,0.104658465883752,0.084515011290966,0.1259195781147,29702,17306,5414,469684,385163,16175,549.332593856655
"21",21,2000,3926749,3521808,274507,979924,84997,848807,2946825,189510,2673001,616494,203842,75689,511429,33461,157836,96884,81999,11382,1801097,1633894,112481,0.22722171006465,0.228270735325573,0.214129080811751,59061,44266,11588,614130,567152,22965,487.023153872092
"22",22,2000,4334078,2738770,1377203,1208358,478741,664557,3125720,898462,2074213,849008,327217,505457,304454,230345,82702,130905,54419,68951,1853539,1290193,471938,0.201227690941265,0.162672763356637,0.287906751646693,140399,41119,92597,625986,454355,134725,487.979395860526
"23",23,2000,1239622,1198271,5557,303975,3194,287020,935647,2363,911251,124990,40234,2253,115387,1728,35287,29086,27557,0,610959,597079,1749,0.113137158276479,0.11118775899292,0.255226057365095,10539,9294,371,199055,192247,0,555.443248093315
"24",24,2000,5163634,3200738,1430920,1352802,438986,752248,3810832,991934,2448490,434693,147888,213466,167344,91423,39325,123599,50917,58808,2616184,1699250,664543,0.12267647363662,0.103497922811023,0.146257644682698,124319,34314,77748,823869,562731,151423,763.087360455533
"25",25,2000,6128018,5041858,318171,1480047,108910,1115137,4647971,209261,3926721,559761,179407,67684,323307,32232,77659,131158,97865,11538,3135008,2684238,134551,0.113274805266302,0.0942049709152217,0.145609468257509,73976,42039,10539,996043,836785,38968,763.555111395374
