state,stname,rpp
1,Alabama,87.7
2,Alaska,106
4,Arizona,97.1
5,Arkansas,87.5
6,California,112.3
8,Colorado,102.2
9,Connecticut,108.5
10,Delaware,101.4
11,District of Columbia,117.7
12,Florida,98.8
13,Georgia,91.9
15,Hawaii,116.2
16,Idaho,92.8
17,Illinois,101
18,Indiana,91.4
19,Iowa,90.3
20,Kansas,90.8
21,Kentucky,89.1
22,Louisiana,91.2
23,Maine,97.7
24,Maryland,110.9
25,Massachusetts,107.3
26,Michigan,94.2
27,Minnesota,97.6
28,Mississippi,86.8
29,Missouri,89.2
30,Montana,94.4
31,Nebraska,90.5
32,Nevada,98.2
33,New Hampshire,105.9
34,New Jersey,114.5
35,New Mexico,95
36,New York,115.3
37,North Carolina,91.7
38,North Dakota,91.4
39,Ohio,89.6
40,Oklahoma,89.9
41,Oregon,98.7
42,Pennsylvania,98.6
44,Rhode Island,98.1
45,South Carolina,90.5
46,South Dakota,87.6
47,Tennessee,90.6
48,Texas,96.7
49,Utah,97.2
50,Vermont,100.2
51,Virginia,103
53,Washington,103.2
54,West Virginia,88.4
55,Wisconsin,92.9
56,Wyoming,95.8
