"state.fips","year","tot.pop","child.pop","adult.pop","wht.pop","wht.child.pop","wht.adult.pop","blk.pop","blk.child.pop","blk.adult.pop","ai.pop","ai.child.pop","ai.adult.pop","aa.pop","aa.child.pop","aa.adult.pop","lat.pop","lat.child.pop","lat.adult.pop"
"01",1990,4050055,1050041,3000014,2987764,696535,2291229,1024198,341834,682364,16224,5493,10731,21869,6179,15690,24107,7742,16365
"01",1991,4099156,1060794,3038362,3018779,702743,2316036,1040280,345949,694331,17015,5703,11312,23082,6399,16683,25012,7726,17286
"01",1992,4154014,1072873,3081141,3051680,709423,2342257,1060627,351142,709485,17357,5626,11731,24350,6682,17668,26745,8186,18559
"01",1993,4214202,1085606,3128596,3088449,716700,2371749,1081479,356205,725274,18002,5682,12320,26272,7019,19253,29537,9134,20403
"01",1994,4260229,1097180,3163049,3114389,722473,2391916,1099593,361506,738087,18566,5821,12745,27681,7380,20301,33152,10469,22683
"01",1995,4296800,1110553,3186247,3134093,730857,2403236,1114033,365726,748307,19386,5994,13392,29288,7976,21312,37268,12201,25067
"01",1996,4331102,1112092,3219010,3154959,732408,2422551,1125093,365140,759953,20493,6194,14299,30557,8350,22207,42796,14058,28738
"01",1997,4367935,1122893,3245042,3174843,739291,2435552,1140120,368582,771538,21229,6374,14855,31743,8646,23097,49427,16746,32681
"01",1998,4404701,1118252,3286449,3198040,737118,2460922,1152248,366231,786017,21783,6232,15551,32630,8671,23959,56899,18994,37905
"01",1999,4430141,1121287,3308854,3211308,739653,2471655,1162673,366472,796201,22666,6371,16295,33494,8791,24703,65183,21638,43545
"01",2000,4452173,1122273,3329900,3219856,739988,2479868,1170617,365774,804843,25139,7222,17917,36561,9289,27272,77016,25127,51889
"01",2001,4467634,1120409,3347225,3225628,738706,2486922,1177479,364515,812964,26010,7368,18642,38517,9820,28697,85722,28255,57467
"01",2002,4480089,1116590,3363499,3229712,735933,2493779,1182591,362909,819682,27003,7442,19561,40783,10306,30477,94179,31429,62750
"01",2003,4503491,1113083,3390408,3241836,734154,2507682,1190183,360328,829855,28065,7671,20394,43407,10930,32477,103472,35008,68464
"01",2004,4530729,1113662,3417067,3255811,734220,2521591,1199192,359856,839336,28974,7824,21150,46752,11762,34990,113284,38776,74508
"01",2005,4569805,1117229,3452576,3279048,737450,2541598,1210903,359220,851683,29957,7935,22022,49897,12624,37273,124822,43562,81260
"01",2006,4628981,1126798,3502183,3314160,743621,2570539,1230534,361353,869181,31165,8236,22929,53122,13588,39534,137842,48914,88928
"01",2007,4672840,1132296,3540544,3340633,747535,2593098,1243867,361556,882311,32273,8640,23633,56067,14565,41502,150652,54450,96202
"01",2008,4718206,1134927,3583279,3366536,749766,2616770,1259177,360757,898420,33518,8980,24538,58975,15424,43551,163709,59786,103923
"01",2009,4757938,1134192,3623746,3389202,748473,2640729,1271247,360038,911209,34844,9475,25369,62645,16206,46439,176518,64387,112131
