"year","w.arrest","b.arrest","ai.arrest","state"
2000,89742,72339,222,1
2001,99516,84150,346,1
2002,115516,94157,310,1
2003,128859,96377,252,1
2004,129633,98675,429,1
2005,107104,88778,286,1
2006,92544,85788,344,1
2007,116731,102490,392,1
2008,122504,107117,411,1
2009,129442,106549,383,1
2010,104780,59640,296,1
2011,1487,985,0,1
2012,1306,1022,5,1
2013,1399,1140,0,1
2014,NA,NA,NA,1
2000,236682,25713,19189,4
2001,242942,25868,19285,4
2002,256854,26142,19154,4
2003,262873,25760,18856,4
2004,276950,28343,20353,4
2005,265540,28421,19768,4
2006,271518,29314,21433,4
2007,281222,32147,22580,4
2008,281029,33412,23320,4
2009,285078,35366,24848,4
2010,261543,31598,23803,4
2011,249385,31215,22310,4
2012,237180,30602,21259,4
2013,246306,33882,22546,4
2014,NA,NA,NA,4
2000,149602,71567,556,5
2001,142839,68351,602,5
2002,127517,59196,517,5
2003,88988,38707,360,5
2004,108512,53168,434,5
2005,116025,55412,366,5
2006,112940,58333,432,5
2007,103798,49656,314,5
2008,97988,54886,291,5
2009,104338,52369,336,5
2010,103644,48708,289,5
2011,95856,47170,267,5
2012,99096,48856,279,5
2013,97308,47383,315,5
2014,NA,NA,NA,5
2000,1307519,305342,9171,6
2001,1301599,301293,8419,6
2002,1329254,304621,8614,6
2003,1397447,314557,8594,6
2004,1454785,333004,8634,6
2005,1505846,331208,8998,6
2006,1506036,343562,8635,6
2007,1493949,345222,8582,6
2008,1445597,343572,8408,6
2009,1399332,309358,8345,6
2010,1367884,279878,8479,6
2011,1223807,243131,7787,6
2012,1219925,242492,7944,6
2013,1242630,239985,8354,6
2014,NA,NA,NA,6
2000,195493,32617,3175,8
2001,186853,28368,3104,8
2002,182664,26921,2414,8
2003,168996,26973,2348,8
2004,199768,28055,2291,8
2005,212370,28316,2199,8
2006,210891,24434,1896,8
2007,200468,23726,1905,8
2008,193961,23571,1935,8
2009,187672,23539,1749,8
2010,193330,22608,1532,8
2011,193191,23238,1955,8
2012,194617,23408,2047,8
2013,191431,26302,2686,8
2014,NA,NA,NA,8
2000,105772,46694,205,9
2001,107215,45424,265,9
2002,103888,44817,245,9
2003,83671,33543,175,9
2004,101873,40961,271,9
2005,95814,38612,173,9
2006,96333,38012,121,9
2007,97006,41386,197,9
2008,104364,45281,191,9
2009,104807,44985,164,9
2010,102336,44378,177,9
2011,92002,40437,181,9
2012,85058,37179,168,9
2013,72333,29069,202,9
2014,NA,NA,NA,9
2000,21417,17845,2,10
2001,17326,14058,18,10
2002,18029,14748,11,10
2003,18967,16422,5,10
2004,21077,15244,15,10
2005,22849,17753,16,10
2006,24130,19747,11,10
2007,25043,20581,20,10
2008,25393,20841,23,10
2009,25182,20673,13,10
2010,23662,19191,15,10
2011,23118,19830,18,10
2012,25100,19962,19,10
2013,25826,19600,23,10
2014,NA,NA,NA,10
2000,0,0,0,11
2001,805,3218,4,11
2002,971,3193,2,11
2003,1254,3944,6,11
2004,1358,4078,2,11
2005,888,3303,1,11
2006,1001,4326,1,11
2007,1379,4140,3,11
2008,1338,5428,10,11
2009,1530,6209,17,11
2010,1371,6719,10,11
2011,1452,6919,13,11
2012,723,4225,9,11
2013,694,5681,9,11
2014,NA,NA,NA,11
2000,141534,192043,247,13
2001,144571,192638,310,13
2002,158605,200020,459,13
2003,120579,167672,239,13
2004,159941,205227,433,13
2005,167746,223433,378,13
2006,171119,232578,321,13
2007,191780,231039,266,13
2008,125382,182809,285,13
2009,177657,227134,327,13
2010,180666,224010,396,13
2011,180682,216519,317,13
2012,184159,224494,367,13
2013,171116,204566,346,13
2014,NA,NA,NA,13
2000,62364,781,1259,16
2001,63105,869,1305,16
2002,63042,795,1376,16
2003,66813,1052,1302,16
2004,66925,1135,1529,16
2005,66278,1143,1608,16
2006,63857,1106,1593,16
2007,66064,1235,1641,16
2008,64206,1253,1539,16
2009,64962,1312,1578,16
2010,63901,1412,1471,16
2011,63232,1377,1483,16
2012,60053,1499,1561,16
2013,58759,1428,1555,16
2014,NA,NA,NA,16
2000,60093,146624,236,17
2001,53017,129299,227,17
2002,47264,112091,219,17
2003,48313,112301,225,17
2004,46351,116409,188,17
2005,46046,112137,238,17
2006,54193,108714,184,17
2007,48603,108952,184,17
2008,41622,97504,146,17
2009,38947,88373,113,17
2010,36722,82331,98,17
2011,32785,76146,84,17
2012,30506,73570,90,17
2013,28465,72192,83,17
2014,NA,NA,NA,17
2000,125315,58520,210,17
2000,125315,58520,210,18
2001,137110,60050,105,17
2001,137110,60050,105,18
2002,140259,61926,163,17
2002,140259,61926,163,18
2003,144587,60778,133,17
2003,144587,60778,133,18
2004,162037,67909,150,17
2004,162037,67909,150,18
2005,171395,70675,176,17
2005,171395,70675,176,18
2006,164420,66428,108,17
2006,164420,66428,108,18
2007,158996,68630,139,17
2007,158996,68630,139,18
2008,162872,68669,179,17
2008,162872,68669,179,18
2009,168366,68149,181,17
2009,168366,68149,181,18
2010,144872,51504,178,17
2010,144872,51504,178,18
2011,153041,60170,171,17
2011,153041,60170,171,18
2012,139858,52885,161,17
2012,139858,52885,161,18
2013,466277,38374,124,17
2013,466277,38374,124,18
2014,NA,NA,NA,18
2000,86166,12622,1575,19
2001,78801,11125,1286,19
2002,93916,13555,1451,19
2003,96103,15104,1463,19
2004,97385,15314,1667,19
2005,98704,16359,1760,19
2006,96080,17793,1725,19
2007,94012,18450,1659,19
2008,89754,18447,1504,19
2009,89197,18115,1481,19
2010,88891,18547,1545,19
2011,87465,18124,1644,19
2012,85970,17850,1699,19
2013,84532,19362,1659,19
2014,NA,NA,NA,19
2000,57413,7861,407,20
2001,67087,12515,462,20
2002,62011,10230,638,20
2003,66779,12947,880,20
2004,69204,14137,851,20
2005,65193,13207,761,20
2006,64462,13563,1022,20
2007,68571,14947,1008,20
2008,68019,14395,957,20
2009,69619,15070,1023,20
2010,73304,15020,977,20
2011,72434,15585,1049,20
2012,74007,15423,974,20
2013,72506,14926,947,20
2014,NA,NA,NA,20
2000,32485,19879,32,21
2001,43561,22644,57,21
2002,53654,28859,49,21
2003,34763,9361,34,21
2004,55208,26450,66,21
2005,50577,26012,56,21
2006,56683,32557,58,21
2007,53294,32532,36,21
2008,35162,23197,42,21
2009,163304,41156,147,21
2010,159120,37910,128,21
2011,170327,41711,125,21
2012,172449,43083,122,21
2013,170075,44290,128,21
2014,NA,NA,NA,21
2000,104494,124924,547,22
2001,106702,134005,552,22
2002,109925,126060,506,22
2003,106113,119525,415,22
2004,119537,139997,379,22
2005,106788,133361,350,22
2006,99757,121530,336,22
2007,95418,111878,275,22
2008,69582,86571,168,22
2009,106990,128422,277,22
2010,99851,122712,192,22
2011,94507,123203,326,22
2012,90478,112357,320,22
2013,78350,92937,186,22
2014,NA,NA,NA,22
2000,52555,1331,281,23
2001,53366,1381,307,23
2002,51947,1365,335,23
2003,52428,1607,352,23
2004,53918,1649,339,23
2005,52153,1849,278,23
2006,56933,2394,325,23
2007,57838,2456,317,23
2008,52683,1751,350,23
2009,57143,2492,318,23
