state,year,v.crime.rt
CT,2013,262.2
CT,2014,236.9
ME,2013,132.5
ME,2014,127.8
MA,2013,406.4
MA,2014,391.4
NH,2013,223.2
NH,2014,196.1
OH,2011,305.2
OH,2012,299.7
OH,2009,331.9
OH,2010,315.2
NJ,2013,288.9
NJ,2014,261.2
NY,2013,393.8
NY,2014,381.8
OH,2007,343.2
OH,2008,348.2
IL,2013,403.1
IL,2014,370
IN,2013,359.6
IN,2014,365.3
MI,2013,452.2
MI,2014,427.3
OH,2013,291.4
OH,2014,284.9
OK,2011,457.5
OK,2012,469.3
IA,2013,273
IA,2014,273.5
KS,2013,342.8
KS,2014,348.6
MN,2013,234.4
MN,2014,229.1
MO,2013,433.7
MO,2014,442.9
NE,2013,264.8
NE,2014,280.4
ND,2013,273.4
ND,2014,265.1
OK,2009,503.4
OK,2010,479.5
DE,2013,500.7
DE,2014,489.1
FL,2013,469.3
FL,2014,540.5
GA,2013,375.4
GA,2014,377.3
MD,2013,475.4
MD,2014,446.1
NC,2013,341
NC,2014,329.5
OK,2007,499.6
OK,2008,526.7
OK,2013,446.1
OK,2014,406
OR,2011,249.3
OR,2012,247.6
AL,2013,431
AL,2014,427.4
KY,2013,210.9
KY,2014,211.6
MS,2013,277.5
MS,2014,278.5
OR,2007,287.6
OR,2008,257.2
AR,2013,463.2
AR,2014,480.1
LA,2013,521.2
LA,2014,514.7
OR,2009,260.6
OR,2010,252
OR,2013,242.8
OR,2014,232.3
AZ,2013,415.6
AZ,2014,399.9
CO,2013,305.4
CO,2014,309.1
ID,2013,215.2
ID,2014,212.2
MT,2013,288.1
MT,2014,323.7
NV,2013,605
NV,2014,635.6
NJ,2011,307.9
NJ,2012,290.2
PA,2011,362.4
PA,2012,348.7
PA,2009,382.3
PA,2010,366.2
AK,2013,638.7
AK,2014,635.8
CA,2013,402.6
CA,2014,396.1
HI,2013,254.4
HI,2014,259.2
PA,2007,416.5
PA,2008,410
PA,2013,335.1
PA,2014,314.1
CT,2011,275.7
CT,2012,283
ME,2011,123.3
ME,2012,122.7
MA,2011,427.3
MA,2012,405.5
NH,2011,217.3
NH,2012,187.9
RI,2011,246.1
RI,2012,252.4
RI,2009,254.3
RI,2010,256.6
NJ,2009,311.4
NJ,2010,307.7
NY,2011,397.2
NY,2012,406.8
RI,2007,227.3
RI,2008,249.4
IL,2011,424
IL,2012,414.8
IN,2011,331.8
IN,2012,345.7
MI,2011,442.8
MI,2012,454.5
RI,2013,257.3
RI,2014,219.2
SC,2011,596.9
SC,2012,558.8
IA,2011,257.3
IA,2012,263.9
KS,2011,355.7
KS,2012,354.6
MN,2011,230.5
MN,2012,230.9
MO,2011,447.5
MO,2012,450.9
NE,2011,253.6
NE,2012,259.4
ND,2011,248.1
ND,2012,244.7
SC,2009,675.2
SC,2010,597.7
DE,2011,566.4
DE,2012,547.4
FL,2011,514.6
FL,2012,487.1
GA,2011,374.6
GA,2012,378.9
MD,2011,493.5
MD,2012,476.8
NC,2011,346.3
NC,2012,353.4
SC,2007,788.3
SC,2008,729.7
SC,2013,508.5
SC,2014,497.7
SD,2011,255.6
SD,2012,321.8
AL,2011,419.8
AL,2012,449.9
KY,2011,239.6
KY,2012,222.6
MS,2011,269
MS,2012,260.8
SD,2009,218.7
SD,2010,268.5
AR,2011,482.3
AR,2012,469.1
LA,2011,554.6
LA,2012,496.9
SD,2007,169.2
SD,2008,201.4
SD,2013,323.2
SD,2014,326.5
AZ,2011,414.2
AZ,2012,428.9
CO,2011,314.4
CO,2012,308.9
ID,2011,202.2
ID,2012,207.9
MT,2011,276.1
MT,2012,272.2
NV,2011,568.1
NV,2012,607.6
NJ,2007,329.3
NJ,2008,326.5
TN,2011,607.8
TN,2012,643.6
TN,2009,666
TN,2010,613.3
AK,2011,610.1
AK,2012,603.2
CA,2011,411.2
CA,2012,423.1
HI,2011,251.4
HI,2012,239.2
TN,2007,753.3
TN,2008,722.4
TN,2013,585.8
TN,2014,608.4
CT,2009,300.9
CT,2010,281.4
ME,2009,119.9
ME,2010,122
MA,2009,462.6
MA,2010,466.6
NH,2009,160.4
NH,2010,167
TX,2011,408.6
TX,2012,408.6
TX,2009,491
TX,2010,450.3
NM,2013,622.5
NM,2014,597.4
NM,2011,572.7
NM,2012,559.1
TX,2007,510.6
TX,2008,507.9
IL,2009,497.2
IL,2010,435.2
IN,2009,334
IN,2010,314.5
MI,2009,499.8
MI,2010,490.3
TX,2013,410.3
TX,2014,405.9
UT,2011,197.1
UT,2012,205.8
IA,2009,282.1
IA,2010,273.5
KS,2009,406.6
KS,2010,369.1
MN,2009,244.5
MN,2010,236
MO,2009,492.9
MO,2010,455
NE,2009,289.4
NE,2010,279.5
ND,2009,266.4
ND,2010,225
UT,2009,215.4
UT,2010,212.7
DE,2009,645.4
DE,2010,620.9
FL,2009,612.5
FL,2010,542.4
GA,2009,428
GA,2010,403.3
MD,2009,590
MD,2010,547.7
NC,2009,404.5
NC,2010,363.4
UT,2007,234.8
UT,2008,221.8
UT,2013,228.9
UT,2014,215.6
VT,2011,147.6
VT,2012,142.6
