"stname","year","cl.blk","ent.blk","lifelos.blk","grp.inst.blk","cl.white","ent.white","lifelos.white","grp.inst.white","cl.nat.am","ent.nat.am","lifelos.nat.am","grp.inst.nat.am","state","tot","wht","wht.child","wht.child.pov","wht.lessHS","blk","blk.child","blk.child.pov","blk.lessHS","amind","amind.child","amind.child.pov","amind.lessHS","latino.child.pov","foreign","foreign.child","foreign.child.pov","foreign.lessHS","child","child.pov","adult","w.adult","b.adult","a.adult","wht.unemp","blk.unemp","amind.unemp","wht.emp","blk.emp","amind.emp","blk.singpar","latino.singpar","amind.singpar","wht.singpar","wht.f","blk.f","amind.f","incartot","new.incar","WHITEM","WHITEF","BLACKM","BLACKF","AIANM","AIANF","TOTRACEM","TOTRACEF","statename","inst6014_nom","v.crime.rt","pctblk1930","pctami1930","pctimm1930","pctblk1960","pctami1960","pctimm1960","boarding.n","board"
"AK",2014,248,79,597.855371900826,14,816,284,648.069738480697,27,1753,626,690.163157894737,103,2,728300,458532,96296,8849,0.0444010538133181,25704,6416,905,0.110697289468239,102931,33366,10289,0.185996141385461,2829,60546,7075,1152,9220,187878,29448,540422,362236,19288,69565,14623,2055,9668,252521,13588,34026,2505,4739,13516,21823,168670,8224,35188,5216,3846,2180,365,429,32,1654,214,4568,648,"Alaska",35.44347,635.8,0.00303090224513527,0.439735425382507,0.17968472137768,0.0318809776833156,0.0604852993269571,0.0434821112291888,2,TRUE
"AL",2014,3067,1145,820.221690044475,0,4079,1911,567.293431397413,0,19,5,1374.5,3,1,4817678,3207231,660278,116903,0.139726996442708,1270246,336429,157631,0.206062202437788,26181,6067,1654,0.232349165596919,32037,197704,18843,5857,42413,1117419,319968,3700259,2546953,933817,20114,123279,91300,1631,1408723,476254,10331,210530,22559,1303,145052,1316992,513627,10267,26145,11604,11892,1763,17183,815,1,0,29182,2589,"Alabama",19.0589,427.4,0.351879028652581,9.15894079085531e-05,0.00621917820438949,0.30052978104425,0.00033685499923442,0.0056346654417394,0,FALSE
"AR",2014,1947,822,574.082529474812,0,4663,2421,434.178507992895,0,116,47,749.43119266055,10,5,2947029,2178593,459172,98961,0.130410982314756,458881,134279,62456,0.195907922553955,18284,4012,1121,0.162124673629243,29545,153340,17264,5152,44516,709358,200636,2237671,1719421,324602,14272,74403,30716,996,961347,168421,7908,84114,23866,1058,114551,885062,173904,7171,15250,9475,8636,1031,7243,328,41,11,16476,1398,"Arkansas",48.89912,480.1,0.257666825748038,0.000172936811256834,0.00587543984683316,0.217383516557329,0.000526162595436939,0.00542955018695565,0,FALSE
"AZ",2014,3720,1698,507.819873997709,0,9481,4431,474.506133274395,0,1975,809,531.257925846319,0,4,6561527,3734815,664956,98342,0.0627834490008354,275657,78137,25527,0.107757862188592,289979,91166,42489,0.248962843003787,260256,955780,72634,28437,289045,1619865,437671,4941662,3069859,197520,198813,146075,18855,23936,1687946,112432,87661,42127,261381,43351,160606,1564706,93187,103709,42136,14634,14557,2128,5275,331,1833,341,38178,3958,"Arizona",3.017494,399.9,0.0262381312525237,0.0959802310806154,0.158205115904187,0.0343006295102103,0.0624136342699217,0.0582834331337325,4,TRUE
"CA",2014,21138,7423,1012.84410314362,2893,18257,7208,684.847638365691,1939,2658,938,858.243631881676,212,6,38066920,14909090,2466268,286734,0.0594912711338745,2260315,536565,192947,0.116995422991677,281571,69172,23683,0.244621327802721,1523919,10698479,586895,189164,3280002,9209075,2200972,28857845,12442822,1723750,212399,728538,187227,21695,7180148,875883,109455,303889,1546330,27191,534176,6279072,881228,106603,134433,38765,28055,2028,37284,1647,1312,115,129345,6213,"California",87.42805,396.1,0.0141793126799314,0.00349378357460497,0.195705971495203,0.0561417793666747,0.00264627676492665,0.0901922367399906,5,TRUE
"CO",2014,1781,752,667.6827176781,0,4537,1997,609.496296296296,0,220,121,518.323383084577,0,8,5197581,3605808,707782,70872,0.0441745618678424,209583,55441,20828,0.11834907610597,50761,13198,5073,0.197763057155221,120830,575004,54751,15260,144899,1234543,225249,3963038,2898026,154142,37563,137384,14647,3576,1912810,91350,21470,25974,131432,5899,150723,1461552,71201,18674,20469,10186,8443,1042,3618,244,515,66,18738,1908,"Colorado",72.44034,309.1,0.0100360192257353,0.000654332105116704,0.0976729068989461,0.0222774534841299,0.0027248267055819,0.0398463152134258,2,TRUE
"CT",2014,1985,618,1126.28990923652,0,1802,620,911.880639634495,0,28,9,1531.92857142857,4,9,3592053,2507740,470609,29973,0.0692967516765388,368714,97695,30739,0.154554183813443,7914,2000,576,0.226065472513897,55793,521408,39353,5298,89080,794748,120263,2797305,2037131,271019,5914,109543,33528,664,1295158,163013,3473,56474,82405,1074,89141,1059166,145000,2764,16814,5701,4922,592,6454,340,37,4,15510,1126,"Connecticut",82.98675,236.9,0.0188816274027584,9.01171324799398e-05,0.239623073501224,0.0416945971309827,0.000583582407356293,0.110352278731576,0,FALSE
"DE",2014,553,169,850.020599250936,69,348,119,625.604105571848,38,0,0,0,0,10,917060,590232,106300,11622,0.0932781916551001,198588,53194,15677,0.146855747209006,3261,497,145,0.252636203866432,9557,83602,5822,1345,14084,204544,39762,712516,483932,145394,2764,22748,11730,249,286222,85620,1539,28192,10987,185,25797,252280,79028,1422,6730,3374,2472,415,3613,166,0,0,6361,594,"Delaware",76.57413,489.1,0.128865733246258,0,0.0754136772423766,0.137878516394911,0.00273248521770292,0.0342680523203727,0,FALSE
"FL",2014,12991,6304,553.197732687094,1754,15102,6958,490.691071177875,1445,132,54,553.291338582677,10,12,19361792,10958402,1785923,283931,0.0865552078607028,3119820,856513,347427,0.201762476954373,59475,13453,4282,0.241044161776031,353795,4011926,256259,77185,783115,4020188,1023154,15341604,9172479,2263307,46022,486280,253511,4489,4785361,1237837,24039,481447,404689,5686,458520,4715991,1199229,21880,100873,32041,44475,4930,46950,2164,79,10,95567,7303,"Florida",11.33699,540.5,0.296862475722392,0.00118329793775586,0.0490324161291572,0.178035120871844,0.000831788870987931,0.0583463552707554,0,FALSE
"GA",2014,7314,3704,505.677784139708,0,6576,3255,464.328891004284,0,41,14,570.825,4,13,9907756,5449670,1148112,174049,0.113442170557389,3056278,846648,330071,0.162891300492174,25307,6350,2102,0.213223140495868,141922,1055924,89759,27322,232212,2488333,676511,7419423,4301558,2209630,18957,222786,235666,1661,2519772,1231511,10649,476207,99671,1484,233847,2207340,1204470,9099,52719,18455,16087,1923,31020,1508,25,1,49438,3511,"Georgia",3.120583,377.3,0.372305100396451,0,0.0049659302351427,0.284152562139358,0.000243385492196453,0.00809763814661948,0,FALSE
