"","mean","mcse","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"(Intercept)",1.3647555594352,0.00224432063879492,0.0453165398265641,1.27546049547155,1.33516788871899,1.36472177010939,1.3954797903975,1.45335012161632,408,1.00563228974558
"scale(b.incardisp)",0.06074859132995,0.000392602816747021,0.0150932352094623,0.0310273787567042,0.0505123046800137,0.0608485386325699,0.0710883775271118,0.0897053705923173,1478,1.00048799214134
"scale(bdisp.chpov)",0.0616066150933104,0.000233359811220892,0.010208540067906,0.0416011236583101,0.0545982393680368,0.0617176918477536,0.0687328328433442,0.0812828076780408,1914,1.0005688917479
"scale(I(b.unemp.rt/w.unemp.rt))",0.0149155985259447,0.00012471380345041,0.00708981811410098,0.00110487798562857,0.0102466538651866,0.0150012167733903,0.0195135079425606,0.0287972190138709,3232,0.999284426413676
"scale(I(b.singpar.rt/w.singpar.rt))",0.0430232877884227,0.000216313412272983,0.00948423196922459,0.0242836497279952,0.0365903007840482,0.0428504307615163,0.0494396877200342,0.0613235838586429,1922,1.00054759045658
"scale(I(blk.lessHS/wht.lessHS))",0.00613316111971469,0.000276852972734104,0.0106151444373584,-0.0146311430597451,-0.00134009438044767,0.00616838633461605,0.0132855259290908,0.0272664705217867,1470,1.00057352262849
"scale(pctblk)",-0.247347280144783,0.00202641266145601,0.0442969452397085,-0.33047943039759,-0.277182857686177,-0.248293792435158,-0.217486972736563,-0.16240794118645,478,1.00654564023238
"scale(inst6014_nom)",0.00752134894117835,0.000201426582150099,0.00906225047648716,-0.0102668326067471,0.00135587767557025,0.00772651228448971,0.0135520112374638,0.0252564453879747,2024,1.00026572223147
"scale(b.arrest.disp)",0.0115340806665059,0.000144449889277919,0.00686776066170689,-0.0021674342520151,0.00695890109562631,0.0115643426906625,0.0162171056678428,0.0250892280700701,2260,1.00210081924121
"year.c",0.00102315066806396,7.87804229571931e-05,0.00238186424526994,-0.00349868878602398,-0.000624905290196813,0.00102321826104059,0.00264772660904837,0.00564543060612441,914,1.00378449060511
"scale(tanf.adeq)",0.0908418931234222,0.00124299115296165,0.027751174391503,0.03651108014658,0.0722927433716688,0.0916820840823687,0.109017365703684,0.145228383572471,498,1.00646451231493
"scale(tanf.incl)",0.09446521574374,0.000645480960226217,0.0263714183809818,0.0429336862110275,0.0765960406938354,0.0950538523752305,0.111888295045576,0.14689348583673,1669,1.00146478001663
"scale(medicaid.incl)",0.0322898135323937,0.000833570580479497,0.0320940880460307,-0.0294228343355181,0.010128765380727,0.0327521815001349,0.0536818706497963,0.0956669509033272,1482,1.0024863184046
"scale(snap.incl)",-0.0797423736419782,0.000536726695663403,0.0213920085609484,-0.122121154215754,-0.094237980549686,-0.0799701392078054,-0.0653601525527474,-0.0379647942334797,1589,1.00088695995367
"b[(Intercept) stname:AK]",-0.0679344040462075,0.00497975585190356,0.109604918729925,-0.281783187852961,-0.143129980262633,-0.0658448118871556,0.00525951847352127,0.142369407004242,484,1.00970291206855
